crate	file	line	name	verb	coordinate_tokens	qualifier_tokens
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	615	compile_arena_dag_scanline_with_ctx	compile	arena dag scanline with ctx	with ctx
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	3147	compile_arena_dag_scanline_with_ctx	compile	arena dag scanline with ctx	with ctx
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	910	compile_arena_dag_scanline_hoisted	compile	arena dag scanline hoisted	hoisted
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	3160	compile_arena_dag_scanline_hoisted	compile	arena dag scanline hoisted	hoisted
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	582	compile_arena_dag_with_ctx	compile	arena dag with ctx	with ctx
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	3020	compile_arena_dag_with_ctx	compile	arena dag with ctx	with ctx
pixelflow-runtime	pixelflow-runtime/src/vsync_actor.rs	31	try_consume_vsync_token		try consume vsync token	
pixelflow-search	pixelflow-search/src/egraph/deps.rs	205	leaf_deps_and_children		leaf deps and children	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	1706	node_cost_with_model		node cost with model	with
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2098	predict_log_cost_with_features		log cost with features	with
actor-scheduler	actor-scheduler/src/lib.rs	856	drain_control_and_management	drain	control and management	
actor-scheduler	actor-scheduler/src/lib.rs	1048	new_with_shutdown_mode		with shutdown mode	new with
actor-scheduler	actor-scheduler/src/lib.rs	1035	new_with_wake_handler		with wake handler	new with
core-term	core-term/src/term/emulator/mouse.rs	80	button_base_code		button base code	
core-term	core-term/src/term/screen.rs	240	fill_region_with_glyph		region with glyph	with
core-term	core-term/src/term/emulator/mod.rs	383	is_mouse_tracking_active		mouse tracking active	
core-term	core-term/src/keys.rs	14	map_key_event_to_action	map	key event action	
core-term	core-term/src/term/emulator/screen_ops.rs	191	move_down_one_line_and_dirty		move line and	
core-term	core-term/src/term/emulator/input_handler.rs	20	process_user_input_action	process	user input action	
core-term	core-term/src/term/emulator/mouse.rs	103	sgr_button_code		sgr button code	
