name,group,nodes,tier,stop,machine_dependent,iters,max_iters,classes,max_classes,apps,unions,journal_unions,elapsed_ms,cost,dp_cost,ext_nodes,ref_stop,ref_iters,ref_classes,ref_apps,ref_elapsed_ms,ref_cost,loss_vs_ref_pct,lifted_stop,lifted_iters,lifted_classes,lifted_apps,lifted_elapsed_ms,lifted_cost,loss_vs_lifted_pct,anomaly
cellgrid:120x40_d2,cellgrid,623,classical,ClassCap,false,7,100,4768,5000,13286,3537,3554,67.4,432,6235,120,ClassCap,7,4768,13286,65.4,432,0.00,NearLiftedCap,7,18841,51870,231.7,432,0.00,-
cellgrid:80x24_d1,cellgrid,623,classical,ClassCap,false,7,100,4768,5000,13283,3538,3555,65.4,427,6235,117,ClassCap,7,4768,13283,65.5,427,0.00,NearLiftedCap,7,18842,51876,231.7,427,0.00,-
cellgrid:80x24_d2,cellgrid,623,classical,ClassCap,false,7,100,4768,5000,13286,3537,3554,65.7,432,6235,120,ClassCap,7,4768,13286,65.4,432,0.00,NearLiftedCap,7,18841,51870,231.0,432,0.00,-
glyph16:U+0020,glyph16,1,blitz,Quiesced,false,1,20,1,500,0,0,0,0.0,0,0,1,Quiesced,1,1,0,0.0,0,NaN,Quiesced,1,1,0,0.0,0,NaN,-
glyph16:U+0021,glyph16,1927,classical,ClassCap,false,8,100,4844,5000,16081,3446,3481,113.7,3063,1015294,718,ClassCap,8,4844,16081,114.2,3063,0.00,NearLiftedCap,8,19614,86675,16548.7,3071,-0.26,more saturation extracted WORSE: cost prod=3063 ref=3063 lifted=3071
glyph16:U+0022,glyph16,199,classical,Timeout,true,5,100,3609,5000,18218,2980,2994,205.3,290,481,82,ClassCap,9,4179,44284,1664.5,214,35.51,Quiesced,11,16533,162274,19528.6,214,35.51,-
glyph16:U+0023,glyph16,615,classical,Timeout,true,4,100,4553,5000,13623,3778,3788,200.7,965,8001121,253,ClassCap,9,4620,32040,935.5,739,30.58,Quiesced,9,16455,163549,50835.1,749,28.84,more saturation extracted WORSE: cost prod=965 ref=739 lifted=749
glyph16:U+0024,glyph16,7185,classical,ClassCap,false,4,100,5000,5000,1962,1761,1761,51.9,13115,119985,2982,ClassCap,4,5000,1962,51.7,13115,0.00,NearLiftedCap,8,19708,46700,556.4,11957,9.68,-
glyph16:U+0025,glyph16,7327,classical,ClassCap,false,4,100,5000,5000,2081,1830,1833,51.1,12619,121960,2793,ClassCap,4,5000,2081,51.9,12619,0.00,NearLiftedCap,8,19758,51204,1177.1,11277,11.90,-
glyph16:U+0026,glyph16,9420,classical,ClassCap,false,2,100,5000,5000,698,692,692,28.9,17979,288778,4021,ClassCap,2,5000,698,28.8,17979,0.00,NearLiftedCap,6,19839,32598,314.9,15625,15.07,-
glyph16:U+0027,glyph16,127,classical,Timeout,true,6,100,4133,5000,22050,3475,3485,384.5,137,1000182,53,ClassCap,9,4376,38714,2236.1,133,3.01,Quiesced,11,17976,126960,22183.0,133,3.01,-
glyph16:U+0028,glyph16,1855,classical,ClassCap,false,5,100,4870,5000,10896,3445,3480,69.9,3051,9012581,716,ClassCap,5,4870,10896,70.1,3051,0.00,NearLiftedCap,7,19658,80050,11777.7,3684,-17.18,more saturation extracted WORSE: cost prod=3051 ref=3051 lifted=3684
glyph16:U+0029,glyph16,1855,classical,ClassCap,false,5,100,4870,5000,10902,3446,3481,68.6,3051,9012581,718,ClassCap,5,4870,10902,68.4,3051,0.00,NearLiftedCap,7,19658,78934,10324.7,3649,-16.39,more saturation extracted WORSE: cost prod=3051 ref=3051 lifted=3649
glyph16:U+002A,glyph16,559,classical,Timeout,true,5,100,4839,5000,15357,3835,3839,281.7,1003,1536,282,ClassCap,8,4873,20703,730.1,931,7.73,Quiesced,9,17798,137878,45446.6,737,36.09,-
glyph16:U+002B,glyph16,247,classical,ClassCap,false,7,100,2078,5000,27850,1827,1835,75.8,319,3000416,97,ClassCap,7,2078,27850,75.9,319,0.00,Quiesced,12,2346,60676,153.3,319,0.00,-
glyph16:U+002C,glyph16,1694,classical,ClassCap,false,7,100,4912,5000,12649,3500,3531,128.1,2770,64009751,654,ClassCap,7,4912,12649,126.9,2770,0.00,NearLiftedCap,7,19670,80180,12572.2,3437,-19.41,more saturation extracted WORSE: cost prod=2770 ref=2770 lifted=3437
glyph16:U+002D,glyph16,119,classical,Quiesced,false,7,100,1035,5000,15080,910,918,35.7,133,232,50,Quiesced,7,1035,15080,35.2,133,0.00,Quiesced,7,1035,15080,35.1,133,0.00,-
glyph16:U+002E,glyph16,1855,classical,ClassCap,false,5,100,4912,5000,10563,3511,3546,84.3,2877,100011159,659,ClassCap,5,4912,10563,84.5,2877,0.00,NearLiftedCap,8,19660,82394,10852.6,3088,-6.83,more saturation extracted WORSE: cost prod=2877 ref=2877 lifted=3088
glyph16:U+002F,glyph16,127,classical,Timeout,true,5,100,3294,5000,17350,2822,2847,208.4,166,1000194,53,ClassCap,8,3889,40727,1420.0,134,23.88,Quiesced,11,14884,193275,58151.8,128,29.69,-
glyph16:U+0030,glyph16,5402,classical,ClassCap,false,4,100,5000,5000,2818,2115,2162,49.5,9922,63104,2219,ClassCap,4,5000,2818,49.5,9922,0.00,NearLiftedCap,8,19709,54997,1110.4,8746,13.45,-
glyph16:U+0031,glyph16,1452,classical,ClassCap,false,8,100,4855,5000,18583,3512,3537,193.1,2420,15002171,596,ClassCap,8,4855,18583,193.6,2420,0.00,NearLiftedCap,8,19410,85370,14806.8,2421,-0.04,more saturation extracted WORSE: cost prod=2420 ref=2420 lifted=2421
glyph16:U+0032,glyph16,3891,classical,ClassCap,false,4,100,4995,5000,3851,2502,2562,49.5,6961,41949,1595,ClassCap,4,4995,3851,49.1,6961,0.00,NearLiftedCap,8,19637,65091,2689.4,6406,8.66,-
glyph16:U+0033,glyph16,6993,classical,ClassCap,false,4,100,5000,5000,2015,1801,1801,50.5,12785,118257,2892,ClassCap,4,5000,2015,51.0,12785,0.00,NearLiftedCap,8,19728,46631,534.6,11630,9.93,-
glyph16:U+0034,glyph16,1637,classical,ClassCap,false,8,100,4848,5000,17523,3492,3521,157.0,2680,61008462,654,ClassCap,8,4848,17523,159.5,2680,0.00,NearLiftedCap,8,19362,81146,6216.1,2656,0.90,-
glyph16:U+0035,glyph16,4546,classical,ClassCap,false,4,100,5000,5000,3268,2336,2391,48.2,8102,50180,1839,ClassCap,4,5000,3268,48.2,8102,0.00,NearLiftedCap,8,19685,59032,1294.1,7363,10.04,-
glyph16:U+0036,glyph16,8067,classical,ClassCap,false,2,100,5000,5000,1394,1337,1337,28.0,15249,245969,3414,ClassCap,2,5000,1394,27.4,15249,0.00,NearLiftedCap,7,19607,44108,328.1,13401,13.79,-
glyph16:U+0037,glyph16,191,classical,Timeout,true,5,100,3440,5000,18864,2930,2951,218.3,278,2000306,90,ClassCap,8,4021,41407,1530.1,240,15.83,Quiesced,12,15906,215864,101642.7,240,15.83,-
glyph16:U+0038,glyph16,9774,classical,ClassCap,false,2,100,5000,5000,585,580,580,29.2,18500,299657,4126,ClassCap,2,5000,585,28.5,18500,0.00,NearLiftedCap,6,19839,31728,309.1,16102,14.89,-
