kernel,group,nodes,tier,arm,prod_stop,prod_cost,prod_applications,prod_iterations,prod_elapsed_ms,anytime_cost_at_100,anytime_cost_at_200,anytime_cost_at_400,anytime_cost_at_800,anytime_cost_at_1600,anytime_cost_at_3200,anytime_cost_at_6400,anytime_cost_at_12800,anytime_ended,anytime_ended_at_apps
cellgrid:80x24_d1,cellgrid,623,classical,production,ClassCap,427,13283,7,66.653,456,456,456,456,456,456,456,447,ApplicationBudget,12806
cellgrid:80x24_d1,cellgrid,623,classical,numeric-first,ClassCap,427,14247,8,75.617,447,449,437,437,427,427,427,427,ApplicationBudget,12812
cellgrid:80x24_d1,cellgrid,623,classical,shuffled(1),ClassCap,427,10318,6,48.104,466,466,456,456,456,456,456,437,ApplicationBudget,12815
cellgrid:80x24_d1,cellgrid,623,classical,shuffled(2),ClassCap,427,16610,8,69.730,437,439,427,427,427,427,427,427,ApplicationBudget,13271
cellgrid:80x24_d1,cellgrid,623,classical,shuffled(3),ClassCap,427,10914,6,53.541,446,446,446,427,427,427,427,427,ApplicationBudget,13376
glyph16:U+0020,glyph16,1,blitz,production,Quiesced,0,0,1,0.008,0,0,0,0,0,0,0,0,Quiesced,0
glyph16:U+0020,glyph16,1,blitz,numeric-first,Quiesced,0,0,1,0.005,0,0,0,0,0,0,0,0,Quiesced,0
glyph16:U+0020,glyph16,1,blitz,shuffled(1),Quiesced,0,0,1,0.005,0,0,0,0,0,0,0,0,Quiesced,0
glyph16:U+0020,glyph16,1,blitz,shuffled(2),Quiesced,0,0,1,0.005,0,0,0,0,0,0,0,0,Quiesced,0
glyph16:U+0020,glyph16,1,blitz,shuffled(3),Quiesced,0,0,1,0.005,0,0,0,0,0,0,0,0,Quiesced,0
glyph16:U+0021,glyph16,1927,classical,production,ClassCap,3063,16081,8,115.268,3613,3613,3573,3567,3397,3310,3032,3052,ApplicationBudget,12823
glyph16:U+0021,glyph16,1927,classical,numeric-first,ClassCap,3026,9636,7,84.017,3373,3333,3231,3237,3075,2997,2989,2980,Quiesced,8305
glyph16:U+0021,glyph16,1927,classical,shuffled(1),ClassCap,3041,14664,8,93.305,3505,3505,3505,3505,3485,3285,3051,2993,Quiesced,11071
glyph16:U+0021,glyph16,1927,classical,shuffled(2),ClassCap,3092,12885,9,99.628,3425,3425,3425,3425,3324,3192,3144,3047,Quiesced,11191
glyph16:U+0021,glyph16,1927,classical,shuffled(3),ClassCap,3094,18532,8,130.977,3505,3505,3505,3505,3485,3468,3354,3333,ApplicationBudget,12870
glyph16:U+0022,glyph16,199,classical,production,Timeout,290,18218,5,206.893,394,374,362,326,297,216,212,212,ApplicationBudget,13491
glyph16:U+0022,glyph16,199,classical,numeric-first,Timeout,214,25416,7,354.523,412,432,420,400,240,234,214,212,ApplicationBudget,12802
glyph16:U+0022,glyph16,199,classical,shuffled(1),Timeout,217,20648,7,284.144,408,372,356,336,306,234,230,217,ApplicationBudget,13765
glyph16:U+0022,glyph16,199,classical,shuffled(2),Timeout,223,21608,7,303.668,390,382,404,502,502,540,545,360,ApplicationBudget,13116
glyph16:U+0022,glyph16,199,classical,shuffled(3),Timeout,292,17250,6,201.627,408,408,408,358,356,313,293,233,ApplicationBudget,13732
glyph16:U+0023,glyph16,615,classical,production,Timeout,965,13623,4,200.088,1194,1144,1102,986,920,776,744,739,ApplicationBudget,12819
glyph16:U+0023,glyph16,615,classical,numeric-first,Timeout,785,20946,6,264.342,1178,1300,1258,1209,1164,1025,993,749,ApplicationBudget,13100
glyph16:U+0023,glyph16,615,classical,shuffled(1),Timeout,735,37818,9,205.411,1194,1194,1194,1144,1098,995,950,811,ApplicationBudget,12936
glyph16:U+0023,glyph16,615,classical,shuffled(2),Timeout,763,23073,8,215.030,1153,1153,1153,1153,1115,1115,1014,951,ApplicationBudget,13683
glyph16:U+0023,glyph16,615,classical,shuffled(3),Timeout,920,17989,5,434.872,1184,1184,1184,1184,1171,1056,1014,965,ApplicationBudget,13715
glyph16:U+0024,glyph16,7185,classical,production,ClassCap,13115,1962,4,51.099,13957,13957,13957,13739,13584,13031,12957,12957,Quiesced,4407
glyph16:U+0024,glyph16,7185,classical,numeric-first,ClassCap,12442,1367,2,27.118,13739,13739,13584,12654,12645,12251,12251,12251,Quiesced,3039
glyph16:U+0024,glyph16,7185,classical,shuffled(1),ClassCap,13198,2035,3,38.949,13357,13357,13357,13357,13357,13357,13198,13198,Quiesced,5983
glyph16:U+0024,glyph16,7185,classical,shuffled(2),ClassCap,12510,1482,3,39.744,13045,13045,13045,13045,13045,12641,12641,12641,Quiesced,2778
glyph16:U+0024,glyph16,7185,classical,shuffled(3),ClassCap,13291,1790,2,27.270,13357,13357,13357,13357,13357,13357,13291,13291,Quiesced,5738
glyph16:U+0025,glyph16,7327,classical,production,ClassCap,12619,2081,4,50.955,13438,13438,13438,13302,13207,13204,12514,12514,Quiesced,6341
glyph16:U+0025,glyph16,7327,classical,numeric-first,ClassCap,12001,1545,2,27.950,13302,13207,13204,12287,11898,11934,11934,11934,Quiesced,3171
glyph16:U+0025,glyph16,7327,classical,shuffled(1),ClassCap,12745,2108,3,38.835,12798,12798,12798,12798,12798,12798,12745,12745,Quiesced,5840
glyph16:U+0025,glyph16,7327,classical,shuffled(2),ClassCap,11988,1761,3,38.967,12526,12526,12526,12526,12526,12074,12074,12074,Quiesced,3044
glyph16:U+0025,glyph16,7327,classical,shuffled(3),ClassCap,12753,1917,2,26.793,12798,12798,12798,12798,12798,12798,12753,12753,Quiesced,5649
glyph16:U+0026,glyph16,9420,classical,production,ClassCap,17979,698,2,28.909,18264,18264,18264,17988,17779,17779,17779,17779,Quiesced,1502
glyph16:U+0026,glyph16,9420,classical,numeric-first,ClassCap,16661,743,2,27.842,17988,17988,17788,17782,16489,16489,16489,16489,Quiesced,1569
glyph16:U+0026,glyph16,9420,classical,shuffled(1),ClassCap,17553,1246,3,41.141,17529,17529,17529,17529,17553,17553,17553,17553,Quiesced,1540
glyph16:U+0026,glyph16,9420,classical,shuffled(2),ClassCap,16804,765,2,29.147,17032,17032,17032,17032,16809,16804,16804,16804,Quiesced,1689
glyph16:U+0026,glyph16,9420,classical,shuffled(3),ClassCap,17488,1222,2,27.656,17529,17529,17529,17529,17488,17488,17488,17488,Quiesced,1516
glyph16:U+0027,glyph16,127,classical,production,Timeout,137,22050,6,377.880,239,225,207,197,182,135,131,131,ApplicationBudget,13255
glyph16:U+0027,glyph16,127,classical,numeric-first,Timeout,133,21540,7,265.186,235,217,207,190,180,146,142,144,ApplicationBudget,13091
glyph16:U+0027,glyph16,127,classical,shuffled(1),Timeout,136,18787,7,208.737,227,238,219,204,194,184,139,135,ApplicationBudget,13414
