kernel,group,nodes,tier,a_cost,a_cost_rep2,a_stop,a_applications,a_iterations,b_cost,b_cost_rep2,b_stop,b_applications,b_iterations,cost_ratio_a_over_b,a_elapsed_ms,b_elapsed_ms,lifted_a_cost,lifted_a_stop,lifted_b_cost,lifted_b_stop,lifted_cost_ratio_a_over_b
cellgrid:80x24_d1,cellgrid,623,classical,427,427,ClassCap,6946,3,427,427,Timeout,29364,18,1.0,19.183,200.002,427,ClassCap,427,ClassCap,1.0
glyph16:U+0020,glyph16,1,blitz,0,0,Quiesced,0,1,0,0,Quiesced,0,1,1.0,0.009,0.009,0,Quiesced,0,Quiesced,1.0
glyph16:U+0021,glyph16,1927,classical,3125,3125,ClassCap,6357,2,3063,3063,Timeout,23575,13,1.020242,23.6,200.009,3125,ClassCap,3063,ClassCap,1.020242
glyph16:U+0022,glyph16,199,classical,310,310,ClassCap,12044,4,290,290,Timeout,18218,5,1.068966,87.974,200.037,310,ClassCap,214,Timeout,1.448598
glyph16:U+0023,glyph16,615,classical,1014,1014,ClassCap,9842,3,965,965,Timeout,13623,4,1.050777,81.688,200.354,1014,ClassCap,739,Timeout,1.372124
glyph16:U+0024,glyph16,7185,classical,13131,13131,ClassCap,1886,1,13115,13115,Timeout,2066,8,1.00122,16.577,218.747,13131,ClassCap,13115,ClassCap,1.00122
glyph16:U+0025,glyph16,7327,classical,12640,12640,ClassCap,1990,1,12619,12619,Timeout,2273,10,1.001664,16.532,200.004,12640,ClassCap,12619,ClassCap,1.001664
glyph16:U+0026,glyph16,9420,classical,17979,17979,ClassCap,693,1,17979,17979,Timeout,728,8,1.0,16.493,200.001,17979,ClassCap,17979,ClassCap,1.0
glyph16:U+0027,glyph16,127,classical,171,171,ClassCap,16399,5,171,137,Timeout,15238,5,1.0,151.07,205.195,171,ClassCap,133,Timeout,1.285714
glyph16:U+0028,glyph16,1855,classical,3039,3039,ClassCap,6310,2,3051,3051,Timeout,16058,9,0.996067,23.201,200.001,3039,ClassCap,3051,ClassCap,0.996067
glyph16:U+0029,glyph16,1855,classical,3039,3039,ClassCap,6310,2,3051,3051,Timeout,13418,7,0.996067,23.136,200.016,3039,ClassCap,3051,ClassCap,0.996067
glyph16:U+002A,glyph16,559,classical,1143,1143,ClassCap,9666,3,1073,1003,Timeout,12815,4,1.065238,59.577,200.042,1143,ClassCap,931,Timeout,1.227712
glyph16:U+002B,glyph16,247,classical,319,319,ClassCap,11436,4,319,319,Timeout,31311,8,1.0,34.181,200.001,319,ClassCap,319,ClassCap,1.0
glyph16:U+002C,glyph16,1694,classical,2779,2779,ClassCap,6361,2,2785,2770,Timeout,10441,5,0.997846,23.032,200.001,2779,ClassCap,2770,ClassCap,1.003249
glyph16:U+002D,glyph16,119,classical,133,133,Quiesced,15080,7,133,133,Quiesced,15080,7,1.0,35.898,63.312,133,Quiesced,133,Quiesced,1.0
glyph16:U+002E,glyph16,1855,classical,2881,2881,ClassCap,6411,2,2877,2877,Timeout,11505,6,1.00139,22.685,210.038,2881,ClassCap,2877,ClassCap,1.00139
glyph16:U+002F,glyph16,127,classical,166,166,Timeout,17350,5,166,166,Timeout,17350,5,1.0,200.571,207.373,166,ClassCap,134,Timeout,1.238806
glyph16:U+0030,glyph16,5402,classical,9970,9970,ClassCap,2586,1,9922,9922,Timeout,3130,8,1.004838,15.924,200.179,9970,ClassCap,9922,ClassCap,1.004838
glyph16:U+0031,glyph16,1452,classical,2520,2520,ClassCap,6800,2,2424,2420,Timeout,14502,6,1.039604,22.435,200.003,2520,ClassCap,2420,ClassCap,1.041322
glyph16:U+0032,glyph16,3891,classical,6980,6980,ClassCap,3078,1,6961,6961,Timeout,4866,9,1.002729,14.781,200.001,6980,ClassCap,6961,ClassCap,1.002729
glyph16:U+0033,glyph16,6993,classical,12797,12797,ClassCap,1948,1,12785,12785,Timeout,2268,15,1.000939,16.476,200.001,12797,ClassCap,12785,ClassCap,1.000939
glyph16:U+0034,glyph16,1637,classical,2751,2751,ClassCap,6666,2,2698,2698,Timeout,20653,10,1.019644,23.492,200.001,2751,ClassCap,2698,ClassCap,1.019644
glyph16:U+0035,glyph16,4546,classical,8145,8145,ClassCap,2926,1,8102,8102,Timeout,4360,16,1.005307,15.303,200.007,8145,ClassCap,8102,ClassCap,1.005307
