name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
cellgrid:120x40_d2,cellgrid,623,5000,ClassCap,true,4583,1261,4583,4736,3.6344,432
cellgrid:80x24_d1,cellgrid,623,5000,ClassCap,true,4583,1260,4583,4736,3.6373,427
cellgrid:80x24_d2,cellgrid,623,5000,ClassCap,true,4583,1261,4583,4736,3.6344,432
glyph16:U+0020,glyph,1,500,Quiesced,false,1,1,1,1,1.0000,0
glyph16:U+0021,glyph,1927,5000,ClassCap,true,4703,1352,4703,4925,3.4786,3125
glyph16:U+0022,glyph,199,5000,ClassCap,true,2888,421,2888,3112,6.8599,310
glyph16:U+0023,glyph,615,5000,ClassCap,true,4309,826,4309,4674,5.2167,1014
glyph16:U+0024,glyph,7185,5000,ClassCap,true,5000,3246,5000,5075,1.5404,13131
glyph16:U+0025,glyph,7327,5000,ClassCap,true,5000,3186,5000,5085,1.5694,12640
glyph16:U+0026,glyph,9420,5000,ClassCap,true,5000,4308,5000,5003,1.1606,17979
glyph16:U+0027,glyph,127,5000,ClassCap,true,3566,582,3566,3759,6.1271,171
glyph16:U+0028,glyph,1855,5000,ClassCap,true,4719,1379,4719,4920,3.4220,3039
glyph16:U+0029,glyph,1855,5000,ClassCap,true,4718,1378,4718,4927,3.4238,3039
glyph16:U+002A,glyph,559,5000,ClassCap,true,4480,1002,4480,4828,4.4711,1143
glyph16:U+002B,glyph,247,5000,ClassCap,true,2055,244,2055,2244,8.4221,319
glyph16:U+002C,glyph,1694,5000,ClassCap,true,4678,1366,4678,4872,3.4246,2779
glyph16:U+002D,glyph,119,5000,Quiesced,false,1035,117,1035,1165,8.8462,133
glyph16:U+002E,glyph,1855,5000,ClassCap,true,4681,1354,4680,4894,3.4572,2881
glyph16:U+002F,glyph,127,5000,ClassCap,true,3444,447,3443,3635,7.7047,166
glyph16:U+0030,glyph,5402,5000,ClassCap,true,5000,2903,5000,5061,1.7224,9970
glyph16:U+0031,glyph,1452,5000,ClassCap,true,4418,1323,4418,4654,3.3394,2520
glyph16:U+0032,glyph,3891,5000,ClassCap,true,4945,2533,4945,4974,1.9522,6980
glyph16:U+0033,glyph,6993,5000,ClassCap,true,5000,3209,5000,5091,1.5581,12797
glyph16:U+0034,glyph,1637,5000,ClassCap,true,4557,1337,4557,4794,3.4084,2751
glyph16:U+0035,glyph,4546,5000,ClassCap,true,4981,2683,4981,5017,1.8565,8145
glyph16:U+0036,glyph,8067,5000,ClassCap,true,5000,3663,5000,5058,1.3650,15249
glyph16:U+0037,glyph,191,5000,ClassCap,true,2792,378,2792,3007,7.3862,288
glyph16:U+0038,glyph,9774,5000,ClassCap,true,5000,4420,5000,5002,1.1312,18500
glyph16:U+0039,glyph,8267,5000,ClassCap,true,5000,3774,5000,5036,1.3249,15698
glyph16:U+003A,glyph,3655,5000,ClassCap,true,4854,2312,4854,4871,2.0995,6228
glyph16:U+003B,glyph,3494,5000,ClassCap,true,4855,2307,4855,4876,2.1045,6080
glyph16:U+003C,glyph,295,5000,ClassCap,true,2697,420,2697,2969,6.4214,514
glyph16:U+003D,glyph,183,5000,Quiesced,false,1514,172,1514,1672,8.8023,231
glyph16:U+003E,glyph,295,5000,ClassCap,true,2711,421,2711,2980,6.4394,519
glyph16:U+003F,glyph,6716,5000,ClassCap,true,5000,3176,5000,5083,1.5743,12176
glyph16:U+0040,glyph,12056,5000,ClassCap,true,5226,5226,5226,5226,1.0000,23527
glyph16:U+0041,glyph,1605,5000,ClassCap,true,4509,1340,4509,4734,3.3649,2672
glyph16:U+0042,glyph,4470,5000,ClassCap,true,4975,2650,4975,5016,1.8774,7970
glyph16:U+0043,glyph,5129,5000,ClassCap,true,4996,2830,4996,5047,1.7654,9459
glyph16:U+0044,glyph,2606,5000,ClassCap,true,4367,1933,4367,4390,2.2592,4506
glyph16:U+0045,glyph,247,5000,ClassCap,true,2780,370,2780,2973,7.5135,335
glyph16:U+0046,glyph,215,5000,ClassCap,true,2535,331,2535,2713,7.6586,285
glyph16:U+0047,glyph,4563,5000,ClassCap,true,4983,2695,4983,5020,1.8490,8262
glyph16:U+0048,glyph,247,5000,ClassCap,true,2793,369,2793,2984,7.5691,314
