name,group,arm,node_count,stop,allocated,live,nodes,memo,bytes_proxy,applications,iterations,unions,extracted_cost,elapsed_ns
cellgrid:120x40_d2,cellgrid,allocated,623,ClassCap(Allocated),4583,1261,4583,4736,778512,6949,3,3305,432,19316208
cellgrid:120x40_d2,cellgrid,live,623,ClassCap(Live),8034,1763,8034,8242,1361360,11605,3,6245,432,27400875
cellgrid:80x24_d1,cellgrid,allocated,623,ClassCap(Allocated),4583,1260,4583,4736,778512,6946,3,3306,427,19260458
cellgrid:80x24_d1,cellgrid,live,623,ClassCap(Live),8030,1760,8030,8238,1360688,11602,3,6244,427,27285917
cellgrid:80x24_d2,cellgrid,allocated,623,ClassCap(Allocated),4583,1261,4583,4736,778512,6949,3,3305,432,19502875
cellgrid:80x24_d2,cellgrid,live,623,ClassCap(Live),8034,1763,8034,8242,1361360,11605,3,6245,432,26999334
glyph16:U+0020,glyph16,allocated,1,Quiesced,1,1,1,1,168,0,1,0,0,7250
glyph16:U+0020,glyph16,live,1,Quiesced,1,1,1,1,168,0,1,0,0,5125
glyph16:U+0021,glyph16,allocated,1927,ClassCap(Allocated),4703,1352,4703,4925,802536,6357,2,3316,3125,23463042
glyph16:U+0021,glyph16,live,1927,ClassCap(Live),7369,2118,7369,7607,1251320,11245,2,5216,3064,30883542
glyph16:U+0022,glyph16,allocated,199,ClassCap(Allocated),2888,421,2888,3112,497728,12044,4,2453,310,84288583
glyph16:U+0022,glyph16,live,199,ClassCap(Live),5309,738,5309,5568,906416,23647,5,4557,290,308343000
glyph16:U+0023,glyph16,allocated,615,ClassCap(Allocated),4309,826,4309,4674,744352,9842,3,3473,1014,79516250
glyph16:U+0023,glyph16,live,615,ClassCap(Live),5541,922,5541,6037,958664,13549,3,4600,1014,101986709
glyph16:U+0024,glyph16,allocated,7185,ClassCap(Allocated),5000,3246,5000,5075,844200,1886,1,1754,13131,16555625
glyph16:U+0024,glyph16,live,7185,ClassCap(Live),8398,4355,8398,8474,1415120,5238,1,3987,13008,26283042
glyph16:U+0025,glyph16,allocated,7327,ClassCap(Allocated),5000,3186,5000,5085,844760,1990,1,1813,12640,17132916
glyph16:U+0025,glyph16,live,7327,ClassCap(Live),8395,4232,8395,8474,1414784,5480,1,4103,12430,25723708
glyph16:U+0026,glyph16,allocated,9420,ClassCap(Allocated),5000,4308,5000,5003,840168,693,1,692,17979,16967667
glyph16:U+0026,glyph16,live,9420,ClassCap(Live),7537,4796,7537,7659,1273048,3285,1,2741,17502,24983583
glyph16:U+0027,glyph16,allocated,127,ClassCap(Allocated),3566,582,3566,3759,609896,16399,5,2974,171,152059000
glyph16:U+0027,glyph16,live,127,ClassCap(Live),7642,1240,7642,7888,1297632,32181,6,6391,137,454127042
glyph16:U+0028,glyph16,allocated,1855,ClassCap(Allocated),4719,1379,4719,4920,804048,6310,2,3305,3039,23248125
glyph16:U+0028,glyph16,live,1855,ClassCap(Live),7132,2067,7132,7349,1210328,10875,2,5030,2989,29781792
glyph16:U+0029,glyph16,allocated,1855,ClassCap(Allocated),4718,1378,4718,4927,804328,6310,2,3305,3039,23454250
glyph16:U+0029,glyph16,live,1855,ClassCap(Live),7162,2078,7162,7391,1216040,10894,2,5049,2989,30504375
glyph16:U+002A,glyph16,allocated,559,ClassCap(Allocated),4480,1002,4480,4828,772128,9666,3,3474,1143,59277875
glyph16:U+002A,glyph16,live,559,ClassCap(Live),5729,1104,5729,6224,990192,13789,3,4621,1143,95466458
glyph16:U+002B,glyph16,allocated,247,ClassCap(Allocated),2055,244,2055,2244,355824,11436,4,1803,319,32960166
glyph16:U+002B,glyph16,live,247,Quiesced,2346,254,2346,2536,404768,60676,12,2084,319,154827375
glyph16:U+002C,glyph16,allocated,1694,ClassCap(Allocated),4678,1366,4678,4872,796768,6361,2,3281,2779,22964250
glyph16:U+002C,glyph16,live,1694,ClassCap(Live),6820,1963,6820,7028,1157408,10474,2,4826,2723,28546750
glyph16:U+002D,glyph16,allocated,119,Quiesced,1035,117,1035,1165,181160,15080,7,910,133,36158500
glyph16:U+002D,glyph16,live,119,Quiesced,1035,117,1035,1165,181160,15080,7,910,133,35648083
glyph16:U+002E,glyph16,allocated,1855,ClassCap(Allocated),4681,1354,4680,4894,798284,6411,2,3292,2881,23035583
glyph16:U+002E,glyph16,live,1855,ClassCap(Live),7055,2027,7054,7297,1198740,10702,2,4993,2813,29249334
glyph16:U+002F,glyph16,allocated,127,ClassCap(Allocated),3444,447,3443,3635,589236,18357,5,2972,166,209434250
glyph16:U+002F,glyph16,live,127,ClassCap(Live),6235,653,6234,6508,1062716,38385,6,5550,138,1129344292
glyph16:U+0030,glyph16,allocated,5402,ClassCap(Allocated),5000,2903,5000,5061,843416,2586,1,2050,9970,16329417
glyph16:U+0030,glyph16,live,5402,ClassCap(Live),7934,3671,7934,7994,1336272,5574,1,4208,9768,22916917
glyph16:U+0031,glyph16,allocated,1452,ClassCap(Allocated),4418,1323,4418,4654,755440,6800,2,3070,2520,22626750
glyph16:U+0031,glyph16,live,1452,ClassCap(Live),6156,1724,6156,6405,1048152,9393,2,4407,2413,26340917
glyph16:U+0032,glyph16,allocated,3891,ClassCap(Allocated),4945,2533,4945,4974,832384,3078,1,2357,6980,15459583
glyph16:U+0032,glyph16,live,3891,ClassCap(Live),6465,2881,6465,6495,1087800,4761,1,3529,6810,19448250
glyph16:U+0033,glyph16,allocated,6993,ClassCap(Allocated),5000,3209,5000,5091,845096,1948,1,1791,12797,16824209
glyph16:U+0033,glyph16,live,6993,ClassCap(Live),8381,4291,8381,8469,1412936,5347,1,4034,12605,25805167
glyph16:U+0034,glyph16,allocated,1637,ClassCap(Allocated),4557,1337,4557,4794,778848,6666,2,3191,2751,23497875
glyph16:U+0034,glyph16,live,1637,ClassCap(Live),6693,1888,6693,6945,1138536,10207,2,4776,2630,28440500
