name,category,node_count,classes,reachable_classes,tree_dag,tree_tree,sharing_dag,sharing_tree,chosen_dag,sharing_changed_term,sharing_gain,dag_delta_pct,treeopt_dag,exact_status,exact_dag,gap_closed_frac,tree_arm_ns,scoped_ns
cellgrid:120x40_d2,cellgrid,623,4582,1260,428,6231,427,7375,427,true,1,-0.2336,428,UNSOLVED,427,NaN,1023667,2485791
cellgrid:80x24_d1,cellgrid,623,4582,1257,423,6231,422,7375,422,true,1,-0.2364,423,UNSOLVED,422,NaN,1017709,2478750
cellgrid:80x24_d2,cellgrid,623,4582,1260,428,6231,427,7375,427,true,1,-0.2336,428,UNSOLVED,427,NaN,1011625,2480416
glyph16:U+0020,glyph,1,1,1,0,0,0,0,0,false,0,0.0000,0,OPTIMAL,0,NaN,666,1208
glyph16:U+0021,glyph,1927,4703,1352,3018,14949,3037,17193,3018,true,0,0.0000,3018,UNSOLVED,3018,NaN,1131833,2582958
glyph16:U+0022,glyph,199,2888,418,297,488,297,488,297,true,0,0.0000,297,UNSOLVED,297,NaN,439916,946750
glyph16:U+0023,glyph,615,4309,819,979,1730,1023,1758,979,true,0,0.0000,979,UNSOLVED,979,NaN,801292,1832708
glyph16:U+0024,glyph,7185,5000,3246,12726,136074,12725,136400,12725,true,1,-0.0079,12726,UNSOLVED,12725,NaN,1952000,4237292
glyph16:U+0025,glyph,7327,5000,3186,12247,138553,12250,152531,12247,true,0,0.0000,12242,UNSOLVED,12242,NaN,1971250,4284375
glyph16:U+0026,glyph,9420,5000,4308,17443,285170,17443,285170,17443,false,0,0.0000,17443,UNSOLVED,17443,NaN,2309708,4941833
glyph16:U+0027,glyph,127,3562,578,164,263,164,263,164,true,0,0.0000,164,UNSOLVED,164,NaN,559166,1245500
glyph16:U+0028,glyph,1855,4707,1376,2934,14308,2944,16948,2934,true,0,0.0000,2934,UNSOLVED,2934,NaN,1135000,2594084
glyph16:U+0029,glyph,1855,4707,1375,2934,14308,2944,16948,2934,true,0,0.0000,2934,UNSOLVED,2934,NaN,1149916,2623792
glyph16:U+002A,glyph,559,4480,994,1100,1633,1100,1633,1100,true,0,0.0000,1100,UNSOLVED,1100,NaN,883875,2027625
glyph16:U+002B,glyph,247,2053,241,312,571,312,571,312,true,0,0.0000,312,UNSOLVED,312,NaN,298500,628791
glyph16:U+002C,glyph,1694,4675,1365,2684,12311,2698,16007,2684,true,0,0.0000,2684,UNSOLVED,2684,NaN,1121959,2596250
glyph16:U+002D,glyph,119,1035,113,130,229,130,229,130,false,0,0.0000,130,OPTIMAL,130,NaN,107792,230500
glyph16:U+002E,glyph,1855,4675,1352,2784,13912,2806,16948,2784,true,0,0.0000,2784,UNSOLVED,2784,NaN,1161042,2643958
glyph16:U+002F,glyph,127,3444,446,159,259,159,259,159,true,0,0.0000,165,OPTIMAL,159,NaN,503542,1110916
glyph16:U+0030,glyph,5402,5000,2903,9658,71063,9595,97572,9595,true,63,-0.6523,9614,UNSOLVED,9595,NaN,1748083,3898458
glyph16:U+0031,glyph,1452,4416,1323,2433,9019,2439,10555,2433,true,0,0.0000,2433,UNSOLVED,2433,NaN,1086417,2514208
glyph16:U+0032,glyph,3891,4945,2533,6757,49102,6845,64094,6757,true,0,0.0000,6744,UNSOLVED,6744,NaN,1621042,3628625
glyph16:U+0033,glyph,6993,5000,3209,12398,133782,12408,147000,12398,true,0,0.0000,12398,UNSOLVED,12398,NaN,1950042,4208500
glyph16:U+0034,glyph,1637,4552,1336,2658,10565,2666,12613,2658,true,0,0.0000,2658,UNSOLVED,2658,NaN,1131500,2568292
glyph16:U+0035,glyph,4546,4981,2683,7888,53485,7967,81981,7888,true,0,0.0000,7848,UNSOLVED,7848,NaN,1651333,3693125
glyph16:U+0036,glyph,8067,5000,3663,14787,242919,14787,242919,14787,false,0,0.0000,14787,UNSOLVED,14787,NaN,2122750,4614542
glyph16:U+0037,glyph,191,2792,374,279,433,287,441,279,true,0,0.0000,279,UNSOLVED,279,NaN,437167,923833
glyph16:U+0038,glyph,9774,5000,4420,17948,295893,17948,295893,17948,false,0,0.0000,17948,UNSOLVED,17948,NaN,2312667,4963458
glyph16:U+0039,glyph,8267,5000,3774,15226,252011,15226,252011,15226,false,0,0.0000,15226,UNSOLVED,15226,NaN,2137750,4692500
glyph16:U+003A,glyph,3655,4854,2312,6031,42492,5976,66014,5976,true,55,-0.9120,5875,UNSOLVED,5875,NaN,1629083,3683084
glyph16:U+003B,glyph,3494,4855,2307,5889,41440,5800,63568,5800,true,89,-1.5113,5705,UNSOLVED,5705,NaN,1581208,3546542
glyph16:U+003C,glyph,295,2697,415,498,774,564,934,498,true,0,0.0000,498,UNSOLVED,498,NaN,463417,998041
glyph16:U+003D,glyph,183,1514,170,226,400,226,400,226,false,0,0.0000,226,UNSOLVED,226,NaN,184542,405000
glyph16:U+003E,glyph,295,2710,416,503,779,575,977,503,true,0,0.0000,503,UNSOLVED,503,NaN,463333,998250
glyph16:U+003F,glyph,6716,5000,3176,11795,126410,11791,140204,11791,true,4,-0.0339,11795,UNSOLVED,11791,NaN,1961833,4221459
glyph16:U+0040,glyph,12056,5226,5226,22834,404751,22834,404751,22834,false,0,0.0000,22834,OPTIMAL,22834,NaN,2631917,5590250
glyph16:U+0041,glyph,1605,4501,1338,2579,10499,2609,13059,2579,true,0,0.0000,2579,UNSOLVED,2579,NaN,1120875,2540792
glyph16:U+0042,glyph,4470,4975,2650,7716,56347,7822,74307,7716,true,0,0.0000,7703,UNSOLVED,7703,NaN,1681541,3775542
glyph16:U+0043,glyph,5129,4996,2830,9166,65251,9084,94613,9084,true,82,-0.8946,9130,UNSOLVED,9084,NaN,1668708,3759750
glyph16:U+0044,glyph,2606,4367,1933,4358,30373,4414,42149,4358,true,0,0.0000,4349,UNSOLVED,4349,NaN,1301209,2956500
glyph16:U+0045,glyph,247,2780,368,328,546,328,546,328,true,0,0.0000,328,UNSOLVED,322,NaN,413083,892416
glyph16:U+0046,glyph,215,2532,329,279,465,279,465,279,true,0,0.0000,279,UNSOLVED,273,NaN,367375,771000
glyph16:U+0047,glyph,4563,4983,2695,8003,53749,8081,82381,8003,true,0,0.0000,7963,UNSOLVED,7963,NaN,1645584,3712042
glyph16:U+0048,glyph,247,2793,367,307,555,307,555,307,true,0,0.0000,307,UNSOLVED,300,NaN,419250,918750
glyph16:U+0049,glyph,391,3416,562,607,1022,662,1057,607,true,0,0.0000,607,UNSOLVED,607,NaN,619625,1335084
glyph16:U+004A,glyph,2425,4282,1868,4203,28258,4120,43335,4120,true,83,-1.9748,4055,UNSOLVED,4055,NaN,1272875,2909416
glyph16:U+004B,glyph,617,4576,921,1012,2756,1023,2763,1012,true,0,0.0000,1012,UNSOLVED,1012,NaN,939209,2151083
glyph16:U+004C,glyph,151,3354,420,181,303,181,303,181,true,0,0.0000,181,UNSOLVED,165,NaN,521375,1127250
glyph16:U+004D,glyph,2345,4914,1703,3988,16881,4049,18145,3988,true,0,0.0000,3988,UNSOLVED,3988,NaN,1387292,3156500
glyph16:U+004E,glyph,1399,4650,1324,2380,8701,2376,10791,2376,true,4,-0.1681,2380,UNSOLVED,2376,NaN,1143500,2588917
glyph16:U+004F,glyph,5945,5000,3006,10434,92884,10385,117718,10385,true,49,-0.4696,10418,UNSOLVED,10385,NaN,1864084,4082125
glyph16:U+0050,glyph,2409,4880,1714,3854,21268,3854,21268,3854,true,0,0.0000,3854,UNSOLVED,3854,NaN,1281584,2931125
glyph16:U+0051,glyph,6053,5000,3029,10417,94345,10371,118286,10371,true,46,-0.4416,10409,UNSOLVED,10371,NaN,1852083,4070041
glyph16:U+0052,glyph,2710,4509,2000,4570,30891,4632,43851,4570,true,0,0.0000,4561,UNSOLVED,4561,NaN,1361917,3124708
glyph16:U+0053,glyph,7616,5000,3414,13634,148853,13634,148853,13634,false,0,0.0000,13634,UNSOLVED,13634,NaN,2028875,4375708
glyph16:U+0054,glyph,183,3522,466,222,389,222,389,222,true,0,0.0000,222,UNSOLVED,209,NaN,533500,1188417
glyph16:U+0055,glyph,2899,4686,2079,5007,33290,4920,51364,4920,true,87,-1.7376,4843,UNSOLVED,4843,NaN,1427667,3259584
glyph16:U+0056,glyph,1573,4611,1318,2556,10699,2568,13771,2556,true,0,0.0000,2556,UNSOLVED,2556,NaN,1110917,2521416
glyph16:U+0057,glyph,7232,5000,3271,13081,137887,13075,126914,13075,true,6,-0.0459,13076,UNSOLVED,13075,NaN,1984125,4261208
glyph16:U+0058,glyph,343,3607,623,627,938,671,966,627,true,0,0.0000,627,UNSOLVED,627,NaN,627541,1377958
glyph16:U+0059,glyph,263,2680,411,422,672,488,832,422,true,0,0.0000,422,UNSOLVED,422,NaN,437250,985583
glyph16:U+005A,glyph,255,3358,457,382,600,390,608,382,true,0,0.0000,382,UNSOLVED,382,NaN,535459,1175000
glyph16:U+005B,glyph,183,1519,174,229,395,229,395,229,false,0,0.0000,229,UNSOLVED,229,NaN,194542,410542
glyph16:U+005C,glyph,127,3444,446,159,259,159,259,159,true,0,0.0000,165,OPTIMAL,159,NaN,522625,1115000
glyph16:U+005D,glyph,183,1517,176,239,405,239,405,239,false,0,0.0000,239,UNSOLVED,239,NaN,193333,412833
glyph16:U+005E,glyph,199,2891,416,306,488,306,488,306,true,0,0.0000,306,UNSOLVED,306,NaN,441083,954500
glyph16:U+005F,glyph,119,2994,318,126,213,126,213,126,true,0,0.0000,126,OPTIMAL,126,NaN,396500,821709
glyph16:U+0060,glyph,1722,4684,1341,2731,13196,2742,16100,2731,true,0,0.0000,2731,UNSOLVED,2731,NaN,1162083,2639292
glyph16:U+0061,glyph,5743,5000,3007,10282,86365,10233,110602,10233,true,49,-0.4766,10270,UNSOLVED,10233,NaN,1879875,4132500
glyph16:U+0062,glyph,5129,4995,2824,9140,64036,9059,92971,9059,true,81,-0.8862,9100,UNSOLVED,9059,NaN,1702291,3801334
glyph16:U+0063,glyph,4671,4984,2700,8152,55857,8241,85837,8152,true,0,0.0000,8116,UNSOLVED,8116,NaN,1678083,3764458
glyph16:U+0064,glyph,5864,5000,3022,10429,90437,10381,114706,10381,true,48,-0.4603,10421,UNSOLVED,10381,NaN,1853583,4103500
glyph16:U+0065,glyph,4872,4989,2751,8488,58259,8585,88472,8488,true,0,0.0000,8460,UNSOLVED,8460,NaN,1692250,3774875
glyph16:U+0066,glyph,2364,4879,1682,3823,20181,3823,20181,3823,true,0,0.0000,3823,UNSOLVED,3823,NaN,1310792,2965416
glyph16:U+0067,glyph,7009,5000,3208,12399,133005,12404,145832,12399,true,0,0.0000,12399,UNSOLVED,12399,NaN,1984458,4302500
glyph16:U+0068,glyph,2931,4717,2082,4881,33725,4949,47873,4881,true,0,0.0000,4872,UNSOLVED,4872,NaN,1454375,3316709
glyph16:U+0069,glyph,2123,4726,1455,3393,16386,3397,17410,3393,true,0,0.0000,3393,UNSOLVED,3393,NaN,1250333,2837000
glyph16:U+006A,glyph,4293,4971,2597,7287,49773,7340,76640,7287,true,0,0.0000,7227,UNSOLVED,7227,NaN,1729292,3833292
glyph16:U+006B,glyph,1460,4454,1304,2431,9343,2439,11391,2431,true,0,0.0000,2431,UNSOLVED,2431,NaN,1090042,2454000
glyph16:U+006C,glyph,323,3005,465,507,829,585,1065,507,true,0,0.0000,507,UNSOLVED,507,NaN,517416,1115292
glyph16:U+006D,glyph,5289,4998,2856,9326,70803,9298,88657,9298,true,28,-0.3002,9313,UNSOLVED,9298,NaN,1740541,3863334
glyph16:U+006E,glyph,2264,4826,1631,3632,19604,3633,19860,3632,true,0,0.0000,3632,UNSOLVED,3632,NaN,1263042,2849208
glyph16:U+006F,glyph,5716,5000,2947,9944,79507,9885,105594,9885,true,59,-0.5933,9908,UNSOLVED,9885,NaN,1802792,3987083
glyph16:U+0070,glyph,5406,4999,2901,9614,72381,9553,98404,9553,true,61,-0.6345,9574,UNSOLVED,9553,NaN,1769791,3917750
glyph16:U+0071,glyph,5046,4992,2802,8892,59409,8811,89986,8811,true,81,-0.9109,8880,UNSOLVED,8811,NaN,1751458,3917667
glyph16:U+0072,glyph,2456,4912,1804,4040,21014,4040,21014,4040,true,0,0.0000,4040,UNSOLVED,4040,NaN,1367708,3097458
glyph16:U+0073,glyph,6929,5000,3201,12283,133114,12292,146610,12283,true,0,0.0000,12283,UNSOLVED,12283,NaN,1960791,4252167
glyph16:U+0074,glyph,2421,4905,1796,3974,20647,3966,21043,3966,true,8,-0.2013,3974,UNSOLVED,3966,NaN,1352125,3062375
glyph16:U+0075,glyph,2493,4898,1809,4013,21961,4006,22621,4006,true,7,-0.1744,4013,UNSOLVED,4006,NaN,1346625,3065000
