name,category,changed,old_under_old,new_under_old,old_under_new,new_under_new,delta_under_new,pct_under_new
cellgrid:120x40_d2,cellgrid,false,432,432,428,428,0,0.0000
cellgrid:80x24_d1,cellgrid,false,427,427,423,423,0,0.0000
cellgrid:80x24_d2,cellgrid,false,432,432,428,428,0,0.0000
glyph16:U+0020,glyph,false,0,0,0,0,0,0.0000
glyph16:U+0021,glyph,false,3125,3125,3018,3018,0,0.0000
glyph16:U+0022,glyph,false,310,310,297,297,0,0.0000
glyph16:U+0023,glyph,false,1014,1014,979,979,0,0.0000
glyph16:U+0024,glyph,false,13131,13131,12726,12726,0,0.0000
glyph16:U+0025,glyph,false,12640,12640,12247,12247,0,0.0000
glyph16:U+0026,glyph,false,17979,17979,17443,17443,0,0.0000
glyph16:U+0027,glyph,false,171,171,164,164,0,0.0000
glyph16:U+0028,glyph,false,3039,3039,2934,2934,0,0.0000
glyph16:U+0029,glyph,false,3039,3039,2934,2934,0,0.0000
glyph16:U+002A,glyph,false,1143,1143,1100,1100,0,0.0000
glyph16:U+002B,glyph,false,319,319,312,312,0,0.0000
glyph16:U+002C,glyph,false,2779,2779,2684,2684,0,0.0000
glyph16:U+002D,glyph,false,133,133,130,130,0,0.0000
glyph16:U+002E,glyph,false,2881,2881,2784,2784,0,0.0000
glyph16:U+002F,glyph,false,166,166,159,159,0,0.0000
glyph16:U+0030,glyph,false,9970,9970,9658,9658,0,0.0000
glyph16:U+0031,glyph,false,2520,2520,2433,2433,0,0.0000
glyph16:U+0032,glyph,false,6980,6980,6757,6757,0,0.0000
glyph16:U+0033,glyph,false,12797,12797,12398,12398,0,0.0000
glyph16:U+0034,glyph,false,2751,2751,2658,2658,0,0.0000
glyph16:U+0035,glyph,false,8145,8145,7888,7888,0,0.0000
glyph16:U+0036,glyph,false,15249,15249,14787,14787,0,0.0000
glyph16:U+0037,glyph,false,288,288,279,279,0,0.0000
glyph16:U+0038,glyph,false,18500,18500,17948,17948,0,0.0000
glyph16:U+0039,glyph,false,15698,15698,15226,15226,0,0.0000
glyph16:U+003A,glyph,false,6228,6228,6031,6031,0,0.0000
glyph16:U+003B,glyph,false,6080,6080,5889,5889,0,0.0000
glyph16:U+003C,glyph,false,514,514,498,498,0,0.0000
glyph16:U+003D,glyph,false,231,231,226,226,0,0.0000
glyph16:U+003E,glyph,false,519,519,503,503,0,0.0000
glyph16:U+003F,glyph,false,12176,12176,11795,11795,0,0.0000
glyph16:U+0040,glyph,false,23527,23527,22834,22834,0,0.0000
glyph16:U+0041,glyph,false,2672,2672,2579,2579,0,0.0000
glyph16:U+0042,glyph,false,7970,7970,7716,7716,0,0.0000
glyph16:U+0043,glyph,false,9459,9459,9166,9166,0,0.0000
glyph16:U+0044,glyph,false,4506,4506,4358,4358,0,0.0000
glyph16:U+0045,glyph,false,335,335,328,328,0,0.0000
glyph16:U+0046,glyph,false,285,285,279,279,0,0.0000
glyph16:U+0047,glyph,false,8262,8262,8003,8003,0,0.0000
glyph16:U+0048,glyph,false,314,314,307,307,0,0.0000
glyph16:U+0049,glyph,false,626,626,607,607,0,0.0000
glyph16:U+004A,glyph,false,4339,4339,4203,4203,0,0.0000
glyph16:U+004B,glyph,false,1047,1047,1012,1012,0,0.0000
glyph16:U+004C,glyph,false,185,185,181,181,0,0.0000
glyph16:U+004D,glyph,false,4133,4133,3988,3988,0,0.0000
glyph16:U+004E,glyph,false,2457,2457,2380,2380,0,0.0000
glyph16:U+004F,glyph,false,10769,10769,10434,10434,0,0.0000
glyph16:U+0050,glyph,false,3990,3990,3854,3854,0,0.0000
glyph16:U+0051,glyph,false,10749,10749,10417,10417,0,0.0000
glyph16:U+0052,glyph,false,4725,4725,4570,4570,0,0.0000
glyph16:U+0053,glyph,false,14066,14066,13634,13634,0,0.0000
glyph16:U+0054,glyph,false,227,227,222,222,0,0.0000
glyph16:U+0055,glyph,false,5170,5170,5007,5007,0,0.0000
glyph16:U+0056,glyph,false,2647,2647,2556,2556,0,0.0000
glyph16:U+0057,glyph,false,13499,13499,13081,13081,0,0.0000
glyph16:U+0058,glyph,false,652,652,627,627,0,0.0000
glyph16:U+0059,glyph,false,437,437,422,422,0,0.0000
glyph16:U+005A,glyph,false,393,393,382,382,0,0.0000
glyph16:U+005B,glyph,false,234,234,229,229,0,0.0000
glyph16:U+005C,glyph,false,166,166,159,159,0,0.0000
glyph16:U+005D,glyph,false,244,244,239,239,0,0.0000
glyph16:U+005E,glyph,false,319,319,306,306,0,0.0000
glyph16:U+005F,glyph,false,129,129,126,126,0,0.0000
glyph16:U+0060,glyph,false,2827,2827,2731,2731,0,0.0000
glyph16:U+0061,glyph,false,10612,10612,10282,10282,0,0.0000
glyph16:U+0062,glyph,false,9434,9434,9140,9140,0,0.0000
glyph16:U+0063,glyph,false,8419,8419,8152,8152,0,0.0000
glyph16:U+0064,glyph,false,10763,10763,10429,10429,0,0.0000
glyph16:U+0065,glyph,false,8766,8766,8488,8488,0,0.0000
glyph16:U+0066,glyph,false,3955,3955,3823,3823,0,0.0000
glyph16:U+0067,glyph,false,12799,12799,12399,12399,0,0.0000
glyph16:U+0068,glyph,false,5045,5045,4881,4881,0,0.0000
glyph16:U+0069,glyph,false,3510,3510,3393,3393,0,0.0000
glyph16:U+006A,glyph,false,7523,7523,7287,7287,0,0.0000
glyph16:U+006B,glyph,false,2517,2517,2431,2431,0,0.0000
glyph16:U+006C,glyph,false,522,522,507,507,0,0.0000
glyph16:U+006D,glyph,false,9624,9624,9326,9326,0,0.0000
glyph16:U+006E,glyph,false,3759,3759,3632,3632,0,0.0000
glyph16:U+006F,glyph,false,10262,10262,9944,9944,0,0.0000
glyph16:U+0070,glyph,false,9922,9922,9614,9614,0,0.0000
glyph16:U+0071,glyph,false,9172,9172,8892,8892,0,0.0000
glyph16:U+0072,glyph,false,4180,4180,4040,4040,0,0.0000
glyph16:U+0073,glyph,false,12680,12680,12283,12283,0,0.0000
glyph16:U+0074,glyph,false,4109,4109,3974,3974,0,0.0000
glyph16:U+0075,glyph,false,4153,4153,4013,4013,0,0.0000
glyph16:U+0076,glyph,false,1760,1760,1699,1699,0,0.0000
glyph16:U+0077,glyph,false,6602,6602,6393,6393,0,0.0000
glyph16:U+0078,glyph,false,639,639,614,614,0,0.0000
glyph16:U+0079,glyph,false,6403,6403,6203,6203,0,0.0000
glyph16:U+007A,glyph,false,393,393,382,382,0,0.0000
glyph16:U+007B,glyph,false,8205,8205,7947,7947,0,0.0000
glyph16:U+007C,glyph,false,133,133,130,130,0,0.0000
glyph16:U+007D,glyph,false,8215,8215,7957,7957,0,0.0000
glyph16:U+007E,glyph,false,9370,9370,9083,9083,0,0.0000
glyph32:U+0020,glyph,false,0,0,0,0,0,0.0000
glyph32:U+0021,glyph,false,3125,3125,3018,3018,0,0.0000
glyph32:U+0022,glyph,false,310,310,297,297,0,0.0000
glyph32:U+0023,glyph,false,1014,1014,979,979,0,0.0000
glyph32:U+0024,glyph,false,13131,13131,12726,12726,0,0.0000
glyph32:U+0025,glyph,false,12640,12640,12247,12247,0,0.0000
glyph32:U+0026,glyph,false,17979,17979,17443,17443,0,0.0000
glyph32:U+0027,glyph,false,171,171,164,164,0,0.0000
glyph32:U+0028,glyph,false,3039,3039,2934,2934,0,0.0000
glyph32:U+0029,glyph,false,3039,3039,2934,2934,0,0.0000
glyph32:U+002A,glyph,false,1143,1143,1100,1100,0,0.0000
glyph32:U+002B,glyph,false,319,319,312,312,0,0.0000
glyph32:U+002C,glyph,false,2779,2779,2684,2684,0,0.0000
glyph32:U+002D,glyph,false,133,133,130,130,0,0.0000
glyph32:U+002E,glyph,false,2881,2881,2784,2784,0,0.0000
glyph32:U+002F,glyph,false,166,166,159,159,0,0.0000
glyph32:U+0030,glyph,false,9970,9970,9658,9658,0,0.0000
glyph32:U+0031,glyph,false,2520,2520,2433,2433,0,0.0000
glyph32:U+0032,glyph,false,6980,6980,6757,6757,0,0.0000
glyph32:U+0033,glyph,false,12797,12797,12398,12398,0,0.0000
glyph32:U+0034,glyph,false,2751,2751,2658,2658,0,0.0000
glyph32:U+0035,glyph,false,8145,8145,7888,7888,0,0.0000
glyph32:U+0036,glyph,false,15249,15249,14787,14787,0,0.0000
glyph32:U+0037,glyph,false,288,288,279,279,0,0.0000
glyph32:U+0038,glyph,false,18500,18500,17948,17948,0,0.0000
glyph32:U+0039,glyph,false,15698,15698,15226,15226,0,0.0000
glyph32:U+003A,glyph,false,6228,6228,6031,6031,0,0.0000
glyph32:U+003B,glyph,false,6080,6080,5889,5889,0,0.0000
glyph32:U+003C,glyph,false,514,514,498,498,0,0.0000
glyph32:U+003D,glyph,false,231,231,226,226,0,0.0000
glyph32:U+003E,glyph,false,519,519,503,503,0,0.0000
glyph32:U+003F,glyph,false,12176,12176,11795,11795,0,0.0000
glyph32:U+0040,glyph,false,23527,23527,22834,22834,0,0.0000
glyph32:U+0041,glyph,false,2672,2672,2579,2579,0,0.0000
glyph32:U+0042,glyph,false,7970,7970,7716,7716,0,0.0000
glyph32:U+0043,glyph,false,9459,9459,9166,9166,0,0.0000
glyph32:U+0044,glyph,false,4506,4506,4358,4358,0,0.0000
glyph32:U+0045,glyph,false,335,335,328,328,0,0.0000
glyph32:U+0046,glyph,false,285,285,279,279,0,0.0000
