op,old,new_table_cycles,new_latency_ns,throughput_ns,ratio,drift_pct,cross_run_spread_pct,landed,moved
Cos,75,102.96,5.691,0.902,1.3728,37.28,6.07,103,True
Sin,70,95.04,5.229,0.774,1.3577,35.77,5.6,95,True
Tan,87,116.78,6.41,1.721,1.3423,34.23,6.22,117,True
Select,4,3.27,0.18,0.068,0.8175,-18.25,11.01,3,True
Neg,3,2.64,0.146,0.005,0.88,-12.0,115.91,3,False
Sqrt,15,13.4,0.743,0.055,0.8933,-10.67,3.21,13,True
Recip,16,14.35,0.797,0.036,0.8969,-10.31,11.71,16,False
Mul,5,5.5,0.302,0.012,1.1,10.0,11.45,5,False
Max,3,2.7,0.148,0.013,0.9,-10.0,5.56,3,False
Abs,3,2.72,0.149,0.004,0.9067,-9.33,112.5,3,False
MulAdd,5,5.42,0.3,0.031,1.084,8.4,8.12,5,False
Min,3,2.78,0.153,0.013,0.9267,-7.33,44.96,3,False
Floor,4,3.77,0.205,0.004,0.9425,-5.75,6.9,4,False
Exp,75,71.58,3.948,0.546,0.9544,-4.56,5.21,75,False
Ceil,4,3.82,0.214,0.004,0.955,-4.5,20.94,4,False
Log10,134,128.15,7.08,1.366,0.9563,-4.37,6.01,134,False
Log2,122,116.8,6.458,1.265,0.9574,-4.26,5.6,122,False
Exp2,69,66.13,3.662,0.481,0.9584,-4.16,4.81,69,False
Ln,128,122.71,6.788,1.345,0.9587,-4.13,8.93,128,False
Asin,103,99.24,5.446,0.919,0.9635,-3.65,11.01,103,False
Acos,103,99.39,5.496,0.915,0.965,-3.5,7.63,103,False
Pow,196,189.27,10.39,2.545,0.9657,-3.43,5.64,196,False
Rsqrt,21,20.32,1.117,0.049,0.9676,-3.24,6.5,21,False
Round,4,3.89,0.214,0.006,0.9725,-2.75,40.62,4,False
Div,11,10.9,0.594,0.021,0.9909,-0.91,9.54,11,False
Atan2,79,79.55,4.367,0.755,1.007,0.7,5.93,79,False
Atan,79,79.5,4.412,0.761,1.0063,0.63,8.48,79,False
Sub,4,4.02,0.22,0.012,1.005,0.5,10.2,4,False
Add,4,4.0,0.22,0.01,1.0,0.0,0.0,4,False
