name,group,rule_order,node_count,max_classes,down_cost,up_cost,cost_change_frac,down_classes,up_classes,class_change_frac,down_live,up_live,down_apps,up_apps,down_iters,up_iters,down_unions,up_unions,down_stop,up_stop,down_cap,up_cap,up_enqueues,up_edges,down_ms,up_ms
cellgrid:120x40_d2,cellgrid,production,623,5000,432,432,0.000000,4583,4587,0.000873,1261,1264,6949,6972,3,3,3305,3316,ClassCap,ClassCap,true,true,26841,7303,19.181,38.003
cellgrid:80x24_d1,cellgrid,production,623,5000,427,427,0.000000,4583,4587,0.000873,1260,1262,6946,6974,3,3,3306,3318,ClassCap,ClassCap,true,true,26879,7307,18.631,37.909
cellgrid:80x24_d2,cellgrid,production,623,5000,432,432,0.000000,4583,4587,0.000873,1261,1264,6949,6972,3,3,3305,3316,ClassCap,ClassCap,true,true,26841,7303,18.602,38.131
glyph16:U+0020,glyph16,production,1,500,0,0,0.000000,1,1,0.000000,1,1,0,0,1,1,0,0,Quiesced,Quiesced,false,false,0,0,0.008,0.005
glyph16:U+0021,glyph16,production,1927,5000,3125,3114,-0.003520,4703,4789,0.018286,1352,1429,6357,6062,2,2,3316,3330,ClassCap,ClassCap,true,true,17797,6632,22.890,28.866
glyph16:U+0022,glyph16,production,199,5000,310,307,-0.009677,2888,2884,-0.001385,421,416,12044,10810,4,4,2453,2417,ClassCap,ClassCap,true,true,29672,3690,86.693,78.823
glyph16:U+0023,glyph16,production,615,5000,1014,1075,0.060158,4309,4259,-0.011604,826,805,9842,9551,3,3,3473,3378,ClassCap,ClassCap,true,true,39757,5356,79.245,76.655
glyph16:U+0024,glyph16,production,7185,5000,13131,13131,0.000000,5000,5000,0.000000,3246,3246,1886,1886,1,1,1754,1754,ClassCap,ClassCap,true,true,7846,7434,16.311,18.022
glyph16:U+0025,glyph16,production,7327,5000,12640,12641,0.000079,5000,5000,0.000000,3186,3187,1990,1993,1,1,1813,1813,ClassCap,ClassCap,true,true,9632,7614,16.238,18.574
glyph16:U+0026,glyph16,production,9420,5000,17979,17979,0.000000,5000,5000,0.000000,4308,4308,693,693,1,1,692,692,ClassCap,ClassCap,true,true,1184,8764,16.242,16.495
glyph16:U+0027,glyph16,production,127,5000,171,165,-0.035088,3566,3492,-0.020752,582,499,16399,14883,5,5,2974,2940,ClassCap,ClassCap,true,true,40987,4718,155.756,162.701
glyph16:U+0028,glyph16,production,1855,5000,3039,3038,-0.000329,4719,4785,0.013986,1379,1443,6310,6033,2,2,3305,3316,ClassCap,ClassCap,true,true,16567,6681,22.754,28.280
glyph16:U+0029,glyph16,production,1855,5000,3039,3038,-0.000329,4718,4785,0.014201,1378,1444,6310,6028,2,2,3305,3315,ClassCap,ClassCap,true,true,16624,6667,22.577,28.105
glyph16:U+002A,glyph16,production,559,5000,1143,1204,0.053368,4480,4476,-0.000893,1002,997,9666,9366,3,3,3474,3413,ClassCap,ClassCap,true,true,34782,6088,60.124,63.211
glyph16:U+002B,glyph16,production,247,5000,319,336,0.053292,2055,2088,0.016058,244,254,11436,15261,4,5,1803,1807,ClassCap,ClassCap,true,true,9360,2460,32.480,40.755
glyph16:U+002C,glyph16,production,1694,5000,2779,2779,0.000000,4678,4699,0.004489,1366,1398,6361,6274,2,2,3281,3275,ClassCap,ClassCap,true,true,15687,6616,22.157,27.538
glyph16:U+002D,glyph16,production,119,5000,133,146,0.097744,1035,962,-0.070531,117,117,15080,12661,7,7,910,827,Quiesced,Quiesced,false,false,4444,978,35.578,28.946
glyph16:U+002E,glyph16,production,1855,5000,2881,2871,-0.003471,4681,4698,0.003632,1354,1388,6411,6335,2,2,3292,3284,ClassCap,ClassCap,true,true,16902,6637,22.146,27.766
glyph16:U+002F,glyph16,production,127,5000,166,160,-0.036145,3444,3424,-0.005807,447,462,18357,16609,5,5,2972,2881,ClassCap,ClassCap,true,true,52784,3814,209.695,176.643
glyph16:U+0030,glyph16,production,5402,5000,9970,9989,0.001906,5000,5000,0.000000,2903,2929,2586,2686,1,1,2050,2071,ClassCap,ClassCap,true,true,9944,7844,15.767,18.197
glyph16:U+0031,glyph16,production,1452,5000,2520,2520,0.000000,4418,4472,0.012223,1323,1353,6800,6687,2,2,3070,3079,ClassCap,ClassCap,true,true,16769,6465,22.106,27.643
glyph16:U+0032,glyph16,production,3891,5000,6980,6960,-0.002865,4945,4946,0.000202,2533,2561,3078,3135,1,1,2357,2385,ClassCap,ClassCap,true,true,9352,8367,14.666,17.226
glyph16:U+0033,glyph16,production,6993,5000,12797,12797,0.000000,5000,5000,0.000000,3209,3209,1948,1948,1,1,1791,1791,ClassCap,ClassCap,true,true,8677,7424,16.041,17.885
glyph16:U+0034,glyph16,production,1637,5000,2751,2751,0.000000,4557,4584,0.005925,1337,1369,6666,6531,2,2,3191,3175,ClassCap,ClassCap,true,true,17645,6384,23.064,28.629
glyph16:U+0035,glyph16,production,4546,5000,8145,8145,0.000000,4981,4978,-0.000602,2683,2720,2926,2955,1,1,2243,2258,ClassCap,ClassCap,true,true,9284,8118,15.010,17.563
glyph16:U+0036,glyph16,production,8067,5000,15249,15249,0.000000,5000,5000,0.000000,3663,3663,1387,1387,1,1,1337,1337,ClassCap,ClassCap,true,true,2523,8168,16.158,16.623
glyph16:U+0037,glyph16,production,191,5000,288,319,0.107639,2792,2702,-0.032235,378,385,12362,11117,4,4,2394,2252,ClassCap,ClassCap,true,true,36458,3108,85.578,80.681
glyph16:U+0038,glyph16,production,9774,5000,18500,18500,0.000000,5000,5000,0.000000,4420,4420,581,581,1,1,580,580,ClassCap,ClassCap,true,true,1065,8814,16.350,16.703
glyph16:U+0039,glyph16,production,8267,5000,15698,15698,0.000000,5000,5000,0.000000,3774,3774,1260,1260,1,1,1226,1226,ClassCap,ClassCap,true,true,2371,8334,15.891,16.480
glyph16:U+003A,glyph16,production,3655,5000,6228,6228,0.000000,4854,4877,0.004738,2312,2329,3374,3423,1,1,2481,2548,ClassCap,ClassCap,true,true,9593,8788,14.033,16.688
glyph16:U+003B,glyph16,production,3494,5000,6080,6080,0.000000,4855,4880,0.005149,2307,2332,3371,3410,1,1,2490,2548,ClassCap,ClassCap,true,true,9293,8778,13.804,16.430
