extractor,family,kernel,extent,cap,app_cap,input_nodes,inserted_classes,classes_after,live_classes,objective,scale,claimed,tree_cost,dag_cost,signed_error,error_frac,repaired_picks,sentinel_classes,arena_nodes,arena_dag_unweighted,sharing_ratio
cost-order-settling,cellgrid,cellgrid_80x24_d2,1600x768,5000,200000,667,123,4634,1322,shared,dag,471885322,7171840536,471885322,0,0.000000,,,116,428,15.198
dfs-post-order,cellgrid,cellgrid_80x24_d2,1600x768,5000,200000,667,123,4634,1322,shared,dag,471885322,7171840536,471885322,0,0.000000,0,0,117,428,15.198
cost-order-settling,cellgrid,cellgrid_80x24_d2,1600x768,20000,800000,667,123,18425,3998,shared,dag,470656522,10141211760,470656522,0,0.000000,,,116,427,21.547
dfs-post-order,cellgrid,cellgrid_80x24_d2,1600x768,20000,800000,667,123,18425,3998,shared,dag,470656522,10141211760,470656522,0,0.000000,0,0,117,427,21.547
cost-order-settling,cellgrid,cellgrid_80x24_d2,1600x768,50000,2000000,667,123,44441,8233,shared,dag,470656522,10141211760,470656522,0,0.000000,,,116,427,21.547
dfs-post-order,cellgrid,cellgrid_80x24_d2,1600x768,50000,2000000,667,123,44441,8233,shared,dag,470656522,10141211760,470656522,0,0.000000,15,1,117,427,21.547
cost-order-settling,chrome,chrome_packed,1920x1080,5000,200000,390815,465,4944,1351,shared,dag,3485751868,4137984610451,3485751868,0,0.000000,,,410,1737,1187.114
dfs-post-order,chrome,chrome_packed,1920x1080,5000,200000,390815,465,4944,1351,shared,dag,3346823903,4680920867178,3346823903,0,0.000000,0,8,398,1668,1398.616
cost-order-settling,chrome,chrome_packed,1920x1080,20000,800000,390815,465,17886,4054,shared,dag,3483709601,4777249033684,3483709601,0,0.000000,,,423,1778,1371.311
dfs-post-order,chrome,chrome_packed,1920x1080,20000,800000,390815,465,17886,4054,shared,dag,3301227397,5200036272570,3301227397,0,0.000000,0,10,403,1681,1575.183
cost-order-settling,chrome,chrome_packed,1920x1080,50000,2000000,390815,465,46074,10256,shared,dag,3533454368,4900698113946,3533454368,0,0.000000,,,419,1749,1386.943
dfs-post-order,chrome,chrome_packed,1920x1080,50000,2000000,390815,465,46074,10256,shared,dag,281,10961193953152,4564003324,-4564003043,-1.000000,1361,1620,518,2214,2401.662
cost-order-settling,chrome_channel,chrome_R,1920x1080,5000,200000,133101,351,4903,1208,shared,dag,2969425466,1316442394452,2969425466,0,0.000000,,,310,1486,443.332
dfs-post-order,chrome_channel,chrome_R,1920x1080,5000,200000,133101,351,4903,1208,shared,dag,2822203106,1377432219620,2822203106,0,0.000000,0,8,300,1418,488.070
cost-order-settling,chrome_channel,chrome_R,1920x1080,20000,800000,133101,351,17003,3829,shared,dag,2913458796,1595502007822,2913458796,0,0.000000,,,312,1488,547.632
dfs-post-order,chrome_channel,chrome_R,1920x1080,20000,800000,133101,351,17003,3829,shared,dag,2712319596,1723106591000,2712319596,0,0.000000,0,8,294,1391,635.289
cost-order-settling,chrome_channel,chrome_R,1920x1080,50000,2000000,133101,351,45777,10205,shared,dag,2946630967,1635727682372,2946630967,0,0.000000,,,312,1470,555.118
dfs-post-order,chrome_channel,chrome_R,1920x1080,50000,2000000,133101,351,45777,10205,shared,dag,738,4816394938248,4126473723,-4126472985,-1.000000,1177,1863,428,2002,1167.194
cost-order-settling,glyph16,glyph16_U0040,16x16,5000,200000,7803,3513,5000,3663,tree_cheaper,tree,48737049,48737049,3837896,0,0.000000,,,3432,15236,12.699
dfs-post-order,glyph16,glyph16_U0040,16x16,5000,200000,7803,3513,5000,3663,tree_cheaper,tree,48737049,48737049,3837896,0,0.000000,0,0,3432,15236,12.699
cost-order-settling,glyph16,glyph16_U0040,16x16,20000,800000,7803,3513,19508,7768,shared,dag,717660,1869295,717660,0,0.000000,,,3004,13815,2.605
dfs-post-order,glyph16,glyph16_U0040,16x16,20000,800000,7803,3513,19508,7768,shared,dag,715440,2245307,719146,-3706,-0.005153,82,92,2993,13786,3.122
cost-order-settling,glyph16,glyph16_U0040,16x16,50000,2000000,7803,3513,46744,12064,shared,dag,704562,1453570,704562,0,0.000000,,,2773,12522,2.063
dfs-post-order,glyph16,glyph16_U0040,16x16,50000,2000000,7803,3513,46744,12064,shared,dag,675984,1625536,705932,-29948,-0.042423,132,243,2839,12677,2.303
cost-order-settling,glyph16,glyph16_U0041,16x16,5000,200000,283,164,3699,575,tree_cheaper,tree,53340,53340,48108,0,0.000000,,,160,633,1.109
dfs-post-order,glyph16,glyph16_U0041,16x16,5000,200000,283,164,3699,575,tree_cheaper,tree,13835058055282200219,53340,48108,13835058055282146879,259374916671956.281250,3,3,160,633,1.109
cost-order-settling,glyph16,glyph16_U0041,16x16,20000,800000,283,164,13000,1273,tree_cheaper,tree,52380,52380,44968,0,0.000000,,,128,403,1.165
dfs-post-order,glyph16,glyph16_U0041,16x16,20000,800000,283,164,13000,1273,tree_cheaper,tree,13835058055282199739,52380,44968,13835058055282147359,264128637939712.625000,24,21,128,403,1.165
cost-order-settling,glyph16,glyph16_U0041,16x16,50000,2000000,283,164,28741,2976,tree_cheaper,tree,52380,52380,44968,0,0.000000,,,128,403,1.165
dfs-post-order,glyph16,glyph16_U0041,16x16,50000,2000000,283,164,28741,2976,tree_cheaper,tree,13835058055282199739,52380,44968,13835058055282147359,264128637939712.625000,94,88,128,403,1.165
cost-order-settling,glyph16,glyph16_U0042,16x16,5000,200000,3965,1820,4990,2637,shared,dag,394288,1431996,394288,0,0.000000,,,1749,7813,3.632
dfs-post-order,glyph16,glyph16_U0042,16x16,5000,200000,3965,1820,4990,2637,shared,dag,395639,1817322,395772,-133,-0.000336,4,36,1772,7902,4.592
cost-order-settling,glyph16,glyph16_U0042,16x16,20000,800000,3965,1820,19002,4790,shared,dag,364969,848770,364969,0,0.000000,,,1504,6559,2.326
dfs-post-order,glyph16,glyph16_U0042,16x16,20000,800000,3965,1820,19002,4790,shared,dag,356138,835618,360217,-4079,-0.011324,2,40,1466,6337,2.320
cost-order-settling,glyph16,glyph16_U0042,16x16,50000,2000000,3965,1820,40974,9726,shared,dag,318435,1446266,318435,0,0.000000,,,1466,6525,4.542
dfs-post-order,glyph16,glyph16_U0042,16x16,50000,2000000,3965,1820,40974,9726,shared,dag,315265,1459288,320029,-4764,-0.014886,20,58,1488,6559,4.560
cost-order-settling,glyph16,glyph16_U0043,16x16,5000,200000,3963,1807,4994,2636,shared,dag,387943,1514588,387943,0,0.000000,,,1747,7858,3.904
dfs-post-order,glyph16,glyph16_U0043,16x16,5000,200000,3963,1807,4994,2636,shared,dag,389213,1885242,389614,-401,-0.001029,6,24,1770,7954,4.839
cost-order-settling,glyph16,glyph16_U0043,16x16,20000,800000,3963,1807,19108,4725,shared,dag,358244,871386,358244,0,0.000000,,,1497,6584,2.432
dfs-post-order,glyph16,glyph16_U0043,16x16,20000,800000,3963,1807,19108,4725,shared,dag,347877,858672,354426,-6549,-0.018478,5,52,1469,6411,2.423
cost-order-settling,glyph16,glyph16_U0043,16x16,50000,2000000,3963,1807,41216,9768,shared,dag,312182,1419938,312182,0,0.000000,,,1448,6512,4.548
dfs-post-order,glyph16,glyph16_U0043,16x16,50000,2000000,3963,1807,41216,9768,shared,dag,292443,1628000,317686,-25243,-0.079459,154,113,1514,6781,5.125
cost-order-settling,glyph16,glyph16_U0044,16x16,5000,200000,2027,939,4870,2012,shared,dag,193819,491493,193819,0,0.000000,,,814,3649,2.536
dfs-post-order,glyph16,glyph16_U0044,16x16,5000,200000,2027,939,4870,2012,shared,dag,193403,495659,193964,-561,-0.002892,14,33,812,3644,2.555
cost-order-settling,glyph16,glyph16_U0044,16x16,20000,800000,2027,939,18017,4534,shared,dag,185008,566902,185008,0,0.000000,,,768,3388,3.064
dfs-post-order,glyph16,glyph16_U0044,16x16,20000,800000,2027,939,18017,4534,shared,dag,167562,757155,188377,-20815,-0.110497,100,77,825,3622,4.019
cost-order-settling,glyph16,glyph16_U0044,16x16,50000,2000000,2027,939,45337,8316,shared,dag,166285,630518,166285,0,0.000000,,,743,3190,3.792
dfs-post-order,glyph16,glyph16_U0044,16x16,50000,2000000,2027,939,45337,8316,shared,dag,121631,1773596,183528,-61897,-0.337262,1185,1409,984,4263,9.664
cost-order-settling,glyph16,glyph16_U0045,16x16,5000,200000,259,134,3531,497,tree_cheaper,tree,48092,48092,34606,0,0.000000,,,83,226,1.390
dfs-post-order,glyph16,glyph16_U0045,16x16,5000,200000,259,134,3531,497,tree_cheaper,tree,4611686018427430833,48092,34606,4611686018427382741,95892997139386.656250,4,4,83,226,1.390
cost-order-settling,glyph16,glyph16_U0045,16x16,20000,800000,259,134,14803,2345,tree_cheaper,tree,48092,48092,34606,0,0.000000,,,83,226,1.390
dfs-post-order,glyph16,glyph16_U0045,16x16,20000,800000,259,134,14803,2345,tree_cheaper,tree,4611686018427430833,48092,34606,4611686018427382741,95892997139386.656250,14,13,83,226,1.390
cost-order-settling,glyph16,glyph16_U0045,16x16,50000,2000000,259,134,34765,5641,tree_cheaper,tree,48092,48092,34606,0,0.000000,,,83,226,1.390
dfs-post-order,glyph16,glyph16_U0045,16x16,50000,2000000,259,134,34765,5641,tree_cheaper,tree,4611686018427430833,48092,34606,4611686018427382741,95892997139386.656250,46,41,83,226,1.390
cost-order-settling,glyph16,glyph16_U0046,16x16,5000,200000,225,118,3184,433,tree_cheaper,tree,41762,41762,29881,0,0.000000,,,72,196,1.398
dfs-post-order,glyph16,glyph16_U0046,16x16,5000,200000,225,118,3184,433,tree_cheaper,tree,4611686018427424503,41762,29881,4611686018427382741,110427805622991.781250,4,4,72,196,1.398
cost-order-settling,glyph16,glyph16_U0046,16x16,20000,800000,225,118,15019,2379,tree_cheaper,tree,41762,41762,29881,0,0.000000,,,72,196,1.398
dfs-post-order,glyph16,glyph16_U0046,16x16,20000,800000,225,118,15019,2379,tree_cheaper,tree,4611686018427424503,41762,29881,4611686018427382741,110427805622991.781250,20,20,72,196,1.398
cost-order-settling,glyph16,glyph16_U0046,16x16,50000,2000000,225,118,34637,5566,tree_cheaper,tree,41762,41762,29881,0,0.000000,,,72,196,1.398
dfs-post-order,glyph16,glyph16_U0046,16x16,50000,2000000,225,118,34637,5566,tree_cheaper,tree,4611686018427424503,41762,29881,4611686018427382741,110427805622991.781250,50,48,72,196,1.398
cost-order-settling,glyph16,glyph16_U0047,16x16,5000,200000,4031,1854,4994,2660,shared,dag,406546,1502710,406546,0,0.000000,,,1782,7936,3.696
dfs-post-order,glyph16,glyph16_U0047,16x16,5000,200000,4031,1854,4994,2660,shared,dag,407448,1847231,407849,-401,-0.000983,6,27,1801,8009,4.529
cost-order-settling,glyph16,glyph16_U0047,16x16,20000,800000,4031,1854,18874,4587,shared,dag,376509,889030,376509,0,0.000000,,,1538,6669,2.361
dfs-post-order,glyph16,glyph16_U0047,16x16,20000,800000,4031,1854,18874,4587,shared,dag,359639,882028,373347,-13708,-0.036717,24,65,1511,6537,2.362
cost-order-settling,glyph16,glyph16_U0047,16x16,50000,2000000,4031,1854,41150,9842,shared,dag,327787,1432472,327787,0,0.000000,,,1502,6667,4.370
dfs-post-order,glyph16,glyph16_U0047,16x16,50000,2000000,4031,1854,41150,9842,shared,dag,308404,1427845,331408,-23004,-0.069413,94,101,1545,6823,4.308
cost-order-settling,glyph16,glyph16_U0048,16x16,5000,200000,259,118,3202,428,tree_cheaper,tree,50652,50652,32985,0,0.000000,,,68,195,1.536
dfs-post-order,glyph16,glyph16_U0048,16x16,5000,200000,259,118,3202,428,tree_cheaper,tree,13835058055282198875,50652,32985,13835058055282148223,273139423029340.343750,10,10,68,195,1.536
cost-order-settling,glyph16,glyph16_U0048,16x16,20000,800000,259,118,14456,2149,tree_cheaper,tree,50652,50652,32985,0,0.000000,,,68,195,1.536
dfs-post-order,glyph16,glyph16_U0048,16x16,20000,800000,259,118,14456,2149,tree_cheaper,tree,13835058055282198875,50652,32985,13835058055282148223,273139423029340.343750,37,37,68,195,1.536
cost-order-settling,glyph16,glyph16_U0048,16x16,50000,2000000,259,118,35131,5622,tree_cheaper,tree,50652,50652,32985,0,0.000000,,,68,195,1.536
