kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U0020,glyph16,10000,1,1,1,0,Quiesced,0,0,0,TreeCheaper,0,0,0,0.000
glyph16_U0020,glyph16,20000,1,1,1,0,Quiesced,0,0,0,TreeCheaper,0,0,0,0.000
glyph16_U0020,glyph16,5000,1,1,1,0,Quiesced,0,0,0,TreeCheaper,0,0,0,0.000
glyph16_U0021,glyph16,10000,138,7498,91,34662,ClassCap,36215,275,51252,TreeCheaper,36215,275,38,0.888
glyph16_U0021,glyph16,20000,138,14430,86,69303,ClassCap,34921,256,51228,TreeCheaper,34921,256,34,5.977
glyph16_U0021,glyph16,5000,138,2674,105,8771,ClassCap,36302,362,51578,TreeCheaper,36302,362,35,0.066
glyph16_U0022,glyph16,10000,93,1642,63,17694,Quiesced,28825,175,36872,TreeCheaper,28825,175,26,0.120
glyph16_U0022,glyph16,20000,93,1642,63,17694,Quiesced,28825,175,36872,TreeCheaper,28825,175,26,0.121
glyph16_U0022,glyph16,5000,93,1642,63,17694,Quiesced,28825,175,36872,TreeCheaper,28825,175,26,0.120
glyph16_U0023,glyph16,10000,290,6079,276,17063,ClassCap,106101,1071,129932,TreeCheaper,106101,1071,118,0.210
glyph16_U0023,glyph16,20000,290,9804,260,40740,ClassCap,105383,1013,128711,TreeCheaper,105383,1013,109,1.064
glyph16_U0023,glyph16,5000,290,3379,262,5950,ClassCap,101688,1023,134741,TreeCheaper,102136,1051,77,0.021
glyph16_U0024,glyph16,10000,2844,9939,2815,6451,ClassCap,601707,12432,2854962,Shared,604891,12631,803,0.033
glyph16_U0024,glyph16,20000,2844,19617,2377,21299,ClassCap,579284,10214,1361216,Shared,576244,10099,694,0.178
glyph16_U0024,glyph16,5000,2844,5000,2740,2184,ClassCap,660104,12119,2696599,Shared,660104,12119,1564,0.019
glyph16_U0025,glyph16,10000,3994,9988,3843,5403,ClassCap,879084,17454,3050016,Shared,881724,17619,2020,0.036
glyph16_U0025,glyph16,20000,3994,19525,3571,15282,ClassCap,814321,16381,2611461,Shared,822509,16874,997,0.059
glyph16_U0025,glyph16,5000,3994,5000,3921,843,ClassCap,4373604,17484,52612564,TreeCheaper,4373604,17484,394,0.020
glyph16_U0026,glyph16,10000,3564,9971,3473,6117,ClassCap,762731,15551,2920648,Shared,767040,15825,1519,0.035
glyph16_U0026,glyph16,20000,3564,19496,3043,15565,ClassCap,720292,13837,1859012,Shared,724398,14103,703,0.069
glyph16_U0026,glyph16,5000,3564,5000,3509,1278,ClassCap,3836071,15451,48358017,TreeCheaper,3836071,15451,797,0.020
glyph16_U0027,glyph16,10000,73,1153,47,12774,Quiesced,18319,124,22868,TreeCheaper,18319,124,17,0.074
glyph16_U0027,glyph16,20000,73,1153,47,12774,Quiesced,18319,124,22868,TreeCheaper,18319,124,17,0.073
glyph16_U0027,glyph16,5000,73,1153,47,12774,Quiesced,18319,124,22868,TreeCheaper,18319,124,17,0.073
glyph16_U0028,glyph16,10000,908,9583,750,12387,ClassCap,178884,3294,379944,TreeCheaper,176452,3217,316,0.056
glyph16_U0028,glyph16,20000,908,18010,740,25380,ClassCap,156403,3268,731540,Shared,156595,3280,244,0.077
glyph16_U0028,glyph16,5000,908,4862,768,3850,ClassCap,178287,3447,463918,Shared,178746,3471,174,0.014
glyph16_U0029,glyph16,10000,827,9562,689,12038,ClassCap,166377,3042,337056,TreeCheaper,163625,2945,295,0.050
glyph16_U0029,glyph16,20000,827,17772,685,24607,ClassCap,145211,3026,660990,Shared,145467,3042,229,0.069
glyph16_U0029,glyph16,5000,827,4863,711,3932,ClassCap,165603,3198,389936,TreeCheaper,165498,3168,175,0.014
glyph16_U002A,glyph16,10000,320,7293,305,18399,ClassCap,103236,1236,126340,TreeCheaper,103236,1236,118,0.226
glyph16_U002A,glyph16,20000,320,9885,279,44467,ClassCap,102401,1121,125804,TreeCheaper,102977,1157,122,0.651
glyph16_U002A,glyph16,5000,320,3765,302,6378,ClassCap,95569,1204,131548,TreeCheaper,95569,1204,83,0.021
glyph16_U002B,glyph16,10000,124,5448,74,161545,ClassCap,33145,205,50876,TreeCheaper,33145,205,28,1.156
glyph16_U002B,glyph16,20000,124,11354,74,426407,ClassCap,33145,205,50876,TreeCheaper,33145,205,28,3.382
glyph16_U002B,glyph16,5000,124,2289,74,18015,ClassCap,33145,205,50876,TreeCheaper,33145,205,28,0.086
glyph16_U002C,glyph16,10000,114,2752,87,28182,Quiesced,32147,272,37576,TreeCheaper,32211,276,36,0.190
glyph16_U002C,glyph16,20000,114,2752,87,28182,Quiesced,32147,272,37576,TreeCheaper,32211,276,36,0.190
glyph16_U002C,glyph16,5000,114,2553,92,13534,ClassCap,32185,310,37690,TreeCheaper,32249,314,35,0.069
glyph16_U002D,glyph16,10000,74,1138,48,12610,Quiesced,18319,124,22868,TreeCheaper,18319,124,17,0.068
glyph16_U002D,glyph16,20000,74,1138,48,12610,Quiesced,18319,124,22868,TreeCheaper,18319,124,17,0.068
glyph16_U002D,glyph16,5000,74,1138,48,12610,Quiesced,18319,124,22868,TreeCheaper,18319,124,17,0.068
glyph16_U002E,glyph16,10000,70,7497,43,36511,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,1.237
glyph16_U002E,glyph16,20000,70,10949,43,46386,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,2.310
glyph16_U002E,glyph16,5000,70,3542,43,18244,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,0.192
glyph16_U002F,glyph16,10000,84,7891,64,37598,ClassCap,20244,189,23524,TreeCheaper,20164,184,24,0.696
glyph16_U002F,glyph16,20000,84,15406,64,72555,ClassCap,20244,189,23524,TreeCheaper,20164,184,24,2.659
glyph16_U002F,glyph16,5000,84,2981,69,11709,ClassCap,20282,227,23638,TreeCheaper,20202,222,24,0.087
glyph16_U0030,glyph16,10000,2514,9924,2447,6851,ClassCap,525302,11147,2522374,Shared,531105,11505,689,0.032
glyph16_U0030,glyph16,20000,2514,19627,2069,23013,ClassCap,512992,9292,1253472,Shared,511072,9247,671,0.757
glyph16_U0030,glyph16,5000,2514,5000,2407,2286,ClassCap,573135,10950,2254630,Shared,573199,10954,1386,0.019
glyph16_U0031,glyph16,10000,157,5255,122,22547,ClassCap,48722,407,58962,TreeCheaper,48722,407,47,0.322
glyph16_U0031,glyph16,20000,157,14670,116,75769,ClassCap,48674,359,58838,TreeCheaper,48674,359,48,6.416
glyph16_U0031,glyph16,5000,157,3104,133,9593,ClassCap,48820,445,59224,TreeCheaper,48820,445,50,0.084
glyph16_U0032,glyph16,10000,1773,9763,1517,7766,ClassCap,358691,6851,938997,Shared,360670,6970,349,0.027
glyph16_U0032,glyph16,20000,1773,19197,1464,24530,ClassCap,357436,6421,756322,TreeCheaper,354353,6308,616,0.304
glyph16_U0032,glyph16,5000,1773,4992,1727,3048,ClassCap,379663,7678,1482936,Shared,381519,7794,755,0.017
glyph16_U0033,glyph16,10000,2659,9917,2601,6721,ClassCap,551042,11702,2668211,Shared,557090,12080,731,0.032
glyph16_U0033,glyph16,20000,2659,19726,2206,22175,ClassCap,539804,9704,1308546,Shared,537724,9649,678,0.708
