kernel,family,b_lo,b_hi,live_lo,live_hi,objective_witness,objective_greedy,delta_objective,dag_witness,dag_greedy,delta_dag,occupied,merges,divergences,frontier,best_single_swap,greedy_swaps,swaps_accepted,witness_kind,realizable,first_class,first_label,first_stage,first_rule
glyph16_U0023,glyph16,5000,10000,262,276,101673,106101,-4428,1023,1071,-48,261,1,58,23,106037,105909,3,objective,PARTIAL,272,DISTRACTOR,dp,associative(Add)
glyph16_U0026,glyph16,5000,10000,3509,3473,881823,762731,119092,15451,15551,-100,3367,142,488,3,762731,762731,0,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph16_U0028,glyph16,5000,10000,768,750,177251,178884,-1633,3447,3294,153,748,20,123,23,177604,177604,1,objective,PARTIAL,1575,COORDINATED,dp,constant-fold
glyph16_U0029,glyph16,5000,10000,711,689,164631,166377,-1746,3198,3042,156,692,19,97,24,165097,165097,1,objective,PARTIAL,1447,COORDINATED,dp,constant-fold
glyph16_U002A,glyph16,5000,10000,302,305,92732,103236,-10504,1204,1236,-32,294,8,57,11,103236,103236,0,objective,COORDINATED,2259,COORDINATED,dp,constant-fold
glyph16_U0030,glyph16,5000,10000,2407,2447,573135,525302,47833,10950,11147,-197,2407,0,762,2,525302,525302,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0033,glyph16,5000,10000,2548,2601,603358,551042,52316,11458,11702,-244,2548,0,780,2,551042,551042,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0036,glyph16,5000,10000,2527,2570,585706,537806,47900,11401,11606,-205,2527,0,764,2,537806,537806,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0038,glyph16,5000,10000,3325,3306,848269,728267,120002,14789,15002,-213,3203,122,534,2,728267,728267,0,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph16_U0039,glyph16,5000,10000,2547,2600,588458,540668,47790,11498,11738,-240,2547,0,779,2,540668,540668,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0044,glyph16,10000,20000,772,768,191705,185008,6697,3335,3388,-53,772,0,148,75,185003,184988,4,static-only,n/a (static-only),929,COORDINATED,dp,associative(Add)
glyph16_U004A,glyph16,10000,20000,805,810,207491,197786,9705,3461,3506,-45,805,0,157,26,197722,197402,6,static-only,n/a (static-only),871,SHARING,dp,seed
glyph16_U0053,glyph16,5000,10000,2623,2690,611816,560390,51426,11756,12050,-294,2623,0,783,2,560390,560390,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0058,glyph16,5000,10000,205,203,59972,61528,-1556,842,838,4,205,0,27,16,61523,61488,8,objective,PARTIAL,440,DISTRACTOR,dp,fma-fusion
glyph16_U0058,glyph16,5000,20000,205,184,59972,61328,-1356,842,638,204,205,0,41,16,61328,61328,0,objective,COORDINATED,440,COORDINATED,dp,fma-fusion
glyph16_U006C,glyph16,5000,10000,434,438,120319,113188,7131,1804,1843,-39,434,0,79,33,113108,113108,1,static-only,n/a (static-only),529,COORDINATED,dp,associative(Add)
glyph16_U0073,glyph16,5000,10000,2526,2587,594704,545487,49217,11279,11547,-268,2526,0,755,2,545487,545487,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph16_U0078,glyph16,5000,20000,200,178,57603,60018,-2415,828,603,225,192,8,38,15,60018,60018,0,objective,COORDINATED,440,COORDINATED,dp,fma-fusion
glyph16_U0079,glyph16,10000,20000,671,679,171990,148678,23312,2895,2953,-58,671,0,129,28,148614,148294,6,static-only,n/a (static-only),796,DISTRACTOR,dp,associative(Add)
glyph16_U0079,glyph16,5000,10000,708,671,170410,171990,-1580,3146,2895,251,686,22,116,41,170710,170710,1,objective,PARTIAL,493,COORDINATED,dp,constant-fold
glyph32_U0023,glyph32,5000,10000,262,276,397529,414549,-17020,1023,1071,-48,261,1,58,23,414421,414165,3,objective,PARTIAL,272,DISTRACTOR,dp,associative(Add)
glyph32_U0026,glyph32,5000,10000,3509,3473,3156335,2644971,511364,15451,15551,-100,3367,142,488,3,2644971,2644971,0,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph32_U0028,glyph32,5000,10000,768,750,621139,627076,-5937,3447,3294,153,748,20,123,23,621956,621956,1,objective,PARTIAL,1575,COORDINATED,dp,constant-fold
glyph32_U0029,glyph32,5000,10000,711,689,578951,585129,-6178,3198,3042,156,692,19,97,24,580009,580009,1,objective,PARTIAL,1447,COORDINATED,dp,constant-fold
glyph32_U002A,glyph32,5000,10000,302,305,359532,401508,-41976,1204,1236,-32,294,8,57,11,401508,401508,0,objective,COORDINATED,2259,COORDINATED,dp,constant-fold
glyph32_U0030,glyph32,5000,10000,2407,2447,1998639,1806326,192313,10950,11147,-197,2407,0,762,2,1806326,1806326,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph32_U0032,glyph32,10000,20000,1517,1465,1255895,1260593,-4698,6851,6426,425,1469,48,234,46,1255473,1255473,1,objective,REALIZABLE-1,3072,COORDINATED,dp,constant-fold
glyph32_U0033,glyph32,5000,10000,2548,2601,2108174,1897122,211052,11458,11702,-244,2548,0,780,2,1897122,1897122,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph32_U0036,glyph32,5000,10000,2527,2570,2037530,1845070,192460,11401,11606,-205,2527,0,764,2,1845070,1845070,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph32_U0038,glyph32,5000,10000,3325,3306,3026077,2510843,515234,14789,15002,-213,3203,122,534,2,2510843,2510843,0,static-only,n/a (static-only),16,COORDINATED,dp,fma-fusion
glyph32_U0039,glyph32,5000,10000,2547,2600,2045594,1852828,192766,11498,11738,-240,2547,0,779,2,1852828,1852828,0,static-only,n/a (static-only),17,COORDINATED,dp,fma-fusion
glyph32_U0044,glyph32,10000,20000,772,768,679817,654512,25305,3335,3388,-53,772,0,148,75,654507,654492,4,static-only,n/a (static-only),929,COORDINATED,dp,associative(Add)
glyph32_U004A,glyph32,10000,20000,805,810,741075,703610,37465,3461,3506,-45,805,0,157,26,703482,702842,6,static-only,n/a (static-only),871,SHARING,dp,seed
