kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
shader_cosine_palette,shader,5000,34,4611,25,7099,ClassCap,18418432,292,23016192,TreeCheaper,18418432,292,7,0.020
shader_cosine_palette,shader,10000,34,8852,25,13676,ClassCap,18418432,292,23016192,TreeCheaper,18418432,292,9,0.030
shader_cosine_palette,shader,20000,34,18258,25,33030,ClassCap,18418432,292,23016192,TreeCheaper,18418432,292,9,0.102
shader_cosine_palette,shader,50000,34,43848,25,70818,ClassCap,18418432,292,23016192,TreeCheaper,18418432,292,9,0.214
shader_cosine_palette,shader,100000,34,92378,25,170829,ClassCap,18418432,292,23016192,TreeCheaper,18418432,292,9,0.989
shader_smooth_min_scene,shader,5000,40,2609,39,30052,ClassCap,7345152,132,21724672,TreeCheaper,7148544,129,19,0.060
shader_smooth_min_scene,shader,10000,40,4077,39,69343,ClassCap,7345152,132,21724672,TreeCheaper,7148544,129,19,0.161
shader_smooth_min_scene,shader,20000,40,6973,39,166339,ClassCap,7345152,132,21003776,TreeCheaper,7148544,129,18,0.477
shader_smooth_min_scene,shader,50000,40,15437,39,561412,ClassCap,6755349,144,21593674,Shared,6820864,124,20,2.294
shader_smooth_min_scene,shader,100000,40,29704,39,1515517,ClassCap,6755349,144,21593674,Shared,6820864,124,20,8.126
shader_mandelbrot_distance,shader,5000,128,3675,96,15340,ClassCap,32707328,518,33280416768,Shared,32707328,518,45,0.033
shader_mandelbrot_distance,shader,10000,128,5735,105,33555,ClassCap,35067648,558,35855735296,TreeCheaper,34738944,549,83,0.746
shader_mandelbrot_distance,shader,20000,128,6287,115,96495,Quiesced,37492480,595,34927197696,TreeCheaper,36508416,576,93,7.477
shader_mandelbrot_distance,shader,50000,128,6287,115,96495,Quiesced,37492480,595,34927197696,TreeCheaper,36508416,576,93,5.144
shader_mandelbrot_distance,shader,100000,128,6287,115,96495,Quiesced,37492480,595,34927197696,TreeCheaper,36508416,576,93,4.972
shader_star_sdf,shader,5000,58,3878,58,7717,ClassCap,10554112,172,115184128,TreeCheaper,10554112,172,21,0.017
shader_star_sdf,shader,10000,58,7826,58,17555,ClassCap,10554112,172,115184128,TreeCheaper,10554112,172,21,0.040
shader_star_sdf,shader,20000,58,13888,58,26909,ClassCap,10554112,172,115184128,TreeCheaper,10554112,172,21,0.052
shader_star_sdf,shader,50000,58,36782,58,75810,ClassCap,10554112,172,115184128,TreeCheaper,10554112,172,21,0.150
