kernel,family,b_lo,b_hi,live_lo,live_hi,objective_witness,objective_greedy,delta_objective,dag_witness,dag_greedy,delta_dag,occupied,merges,divergences,frontier,best_single_swap,greedy_swaps,swaps_accepted,witness_kind,realizable,first_class,first_label,first_stage,first_rule
shader_smooth_min_scene,shader,5000,50000,39,39,7345152,6755349,589803,132,144,-12,39,0,5,2,6755349,6755349,0,static-only,n/a (static-only),20,TIE,min-of-two,seed
shader_smooth_min_scene,shader,10000,50000,39,39,7345152,6755349,589803,132,144,-12,39,0,5,2,6755349,6755349,0,static-only,n/a (static-only),20,TIE,min-of-two,seed
shader_smooth_min_scene,shader,20000,50000,39,39,7345152,6755349,589803,132,144,-12,39,0,7,2,6755349,6755349,0,static-only,n/a (static-only),20,TIE,min-of-two,seed
shader_smooth_min_scene,shader,5000,100000,39,39,7345152,6755349,589803,132,144,-12,39,0,5,2,6755349,6755349,0,static-only,n/a (static-only),20,TIE,min-of-two,seed
shader_smooth_min_scene,shader,10000,100000,39,39,7345152,6755349,589803,132,144,-12,39,0,5,2,6755349,6755349,0,static-only,n/a (static-only),20,TIE,min-of-two,seed
shader_smooth_min_scene,shader,20000,100000,39,39,7345152,6755349,589803,132,144,-12,39,0,7,2,6755349,6755349,0,static-only,n/a (static-only),20,TIE,min-of-two,seed
shader_mandelbrot_distance,shader,5000,10000,96,105,32707328,35067648,-2360320,518,558,-40,96,0,26,3,34805504,34805248,2,objective,PARTIAL,84,CYCLE-PRICED,repair,seed
shader_mandelbrot_distance,shader,5000,20000,96,115,32707328,37492480,-4785152,518,595,-77,96,0,27,3,37230336,37230080,2,objective,PARTIAL,84,CYCLE-PRICED,repair,seed
shader_mandelbrot_distance,shader,10000,20000,105,115,35067648,37492480,-2424832,558,595,-37,105,0,16,3,37295872,37295872,1,objective,PARTIAL,35,CYCLE-PRICED,repair,associative(Add)
shader_mandelbrot_distance,shader,5000,50000,96,115,32707328,37492480,-4785152,518,595,-77,96,0,27,3,37230336,37230080,2,objective,PARTIAL,84,CYCLE-PRICED,repair,seed
shader_mandelbrot_distance,shader,10000,50000,105,115,35067648,37492480,-2424832,558,595,-37,105,0,16,3,37295872,37295872,1,objective,PARTIAL,35,CYCLE-PRICED,repair,associative(Add)
shader_mandelbrot_distance,shader,5000,100000,96,115,32707328,37492480,-4785152,518,595,-77,96,0,27,3,37230336,37230080,2,objective,PARTIAL,84,CYCLE-PRICED,repair,seed
shader_mandelbrot_distance,shader,10000,100000,105,115,35067648,37492480,-2424832,558,595,-37,105,0,16,3,37295872,37295872,1,objective,PARTIAL,35,CYCLE-PRICED,repair,associative(Add)
shader_domain_warp_fbm,shader,10000,20000,56,62,26286596,27205376,-918780,431,446,-15,56,0,10,3,26943232,26943232,1,objective,PARTIAL,3519,COORDINATED,dp,constant-fold
shader_domain_warp_fbm,shader,10000,50000,56,59,26286596,26876164,-589568,431,439,-8,56,0,11,3,26614020,26614020,1,objective,PARTIAL,3519,COORDINATED,dp,constant-fold
shader_domain_warp_fbm,shader,10000,100000,56,58,26286596,26941696,-655100,431,436,-5,56,0,12,3,26941696,26941696,0,objective,COORDINATED,3519,COORDINATED,dp,constant-fold
shader_domain_warp_fbm,shader,50000,100000,59,58,26876164,26941696,-65532,439,436,3,59,0,3,2,26941696,26941696,0,objective,COORDINATED,17272,COORDINATED,dp,constant-fold
shader_metaballs,shader,5000,50000,50,75,7740672,9530880,-1790208,155,255,-100,48,2,9,3,9268736,9260288,2,objective,PARTIAL,15,CYCLE-PRICED,repair,seed
shader_metaballs,shader,10000,50000,46,75,7281920,9530880,-2248960,140,255,-115,46,0,7,3,9268736,9260288,2,objective,PARTIAL,35,CYCLE-PRICED,repair,distribute
shader_metaballs,shader,20000,50000,45,75,7019776,9530880,-2511104,136,255,-119,45,0,7,3,9268736,9260288,2,objective,PARTIAL,35,CYCLE-PRICED,repair,distribute
shader_metaballs,shader,5000,100000,50,73,7740672,14496000,-6755328,155,270,-115,48,2,10,3,13578496,12655872,3,objective,PARTIAL,15,CYCLE-PRICED,repair,seed
